gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000008838,MED24,5.38916594698,0.186603311541,7.07854217768e-08,0.07436107719,0.167263399498,1.91828273434e-08,2.61759653167e-07,11,12,12
ENSG00000148600,CDHR1,-5.37426252651,-0.0865720283076,7.68967532141e-08,0.383705557144,0.457702334182,9.13417121745e-25,1.07064802405e-22,43,46,46
ENSG00000163938,GNL3,5.20049573806,0.264160865273,1.98757677029e-07,0.0342959821565,0.0595394369539,0.00113749504773,0.00666836096541,9,10,10
ENSG00000243678,NME2,4.86174712389,0.113057261402,1.16354203394e-06,0.176716708782,0.254551859625,1.087727569e-12,2.63358715727e-11,21,22,22
ENSG00000136631,VPS45,-4.82036416899,-0.229633250226,1.43296396846e-06,0.0347410481731,0.082969092971,0.000110907819847,0.000812493242025,6,6,6
ENSG00000168237,GLYCTK,4.80699565707,0.273518495299,1.53215317788e-06,0.0279646299943,0.0243356511822,0.0392534181813,0.146534857208,13,13,13
ENSG00000167550,RHEBL1,4.80577714491,0.12157840685,1.54151533782e-06,0.149479765289,0.135178303332,5.57617135028e-07,6.02492175309e-06,34,35,35
ENSG00000224086,AC245452.1,4.8042899307,0.0846596142438,1.55301654846e-06,0.305451538465,0.57288737339,8.77692030984e-34,3.45512576122e-31,19,20,20
ENSG00000148700,ADD3,4.75233427611,0.262900967139,2.0108156829e-06,0.0356196913273,0.0916482883593,4.65965238714e-05,0.000366173210566,8,8,8
ENSG00000198646,NCOA6,-4.74971398021,-0.230089463453,2.03704551757e-06,0.0364216236671,0.0566867832177,0.00150969116909,0.0085826148643,5,5,5
ENSG00000189091,SF3B3,4.57003073696,0.191617854976,4.87652687411e-06,0.0500423040246,0.082496704755,0.000116255895065,0.000846323445442,12,16,16
ENSG00000166068,SPRED1,-4.55352228702,-0.207077081689,5.27550796895e-06,0.0440969415301,0.0520586384204,0.00239063841826,0.0129318848739,32,32,32
ENSG00000141084,RANBP10,-4.50191732468,-0.184539353036,6.73431789812e-06,0.0593077261877,0.115886812564,4.03620039302e-06,3.78818196132e-05,7,7,7
ENSG00000149485,FADS1,-4.48451372955,-0.237901540731,7.30804007907e-06,0.0303601857072,0.0470907798627,0.00391941025231,0.019974249024,6,6,6
ENSG00000088298,EDEM2,-4.34678708968,-0.333400542055,1.38146197702e-05,0.0159918295309,0.0266683553597,0.0308229722201,0.119024707089,10,10,10
ENSG00000255320,AP000759.1,-4.26594091153,-0.0872675405179,1.99061464153e-05,0.261545311924,0.399810559801,6.30456098038e-21,4.58321812874e-19,9,9,9
ENSG00000101109,STK4,4.23575573408,0.287600436169,2.27784292089e-05,0.0215542479442,0.0241149434815,0.0401662407809,0.149514442043,15,16,16
ENSG00000204033,LRIT2,-4.23531757767,-0.122022824101,2.28228920864e-05,0.116555951595,0.232895551924,1.35144370588e-11,2.84813348277e-10,28,29,29
ENSG00000148842,CNNM2,-4.23341262292,-0.199372373371,2.30171634796e-05,0.0394826545138,0.0578974243104,0.00133877503475,0.00771181731777,10,12,12
ENSG00000267080,ASB16-AS1,-4.2184593397,-0.214551095932,2.45977317003e-05,0.0369801264278,0.0535130478758,0.00206894896172,0.0113685939261,6,6,6
ENSG00000176340,COX8A,-4.1368763237,-0.202929685001,3.52065742009e-05,0.0433059126809,0.0510106279585,0.00265315566314,0.0141791597735,19,20,20
ENSG00000267858,MZF1-AS1,4.10035091433,0.355150712259,4.1252412482e-05,0.0133463478093,0.0508676048475,0.0026911599945,0.0143565231719,2,2,2
