gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000163938,GNL3,5.64360494646,0.162481262572,1.66525940068e-08,0.107851997626,0.136317072364,4.95617805171e-07,3.37706397357e-06,11,12,12
ENSG00000160161,CILP2,5.46291685104,1.16209774024,4.68374018761e-08,0.00189518585842,0.0266749158748,0.0308021083143,0.0735387559069,1,1,1
ENSG00000167550,RHEBL1,5.45988941565,0.47364499433,4.7643124269e-08,0.0131128549699,0.202257824463,4.2771268982e-10,4.69673555811e-09,4,4,4
ENSG00000196236,XPNPEP3,5.45418505176,0.178877453332,4.91979477391e-08,0.0892430527569,0.0764245878519,0.000212798563753,0.000879523297889,13,14,14
ENSG00000114904,NEK4,5.33577679207,0.302465175481,9.51363774976e-08,0.0316351678637,0.0430141202023,0.00588769219825,0.0172771884704,11,11,11
ENSG00000008838,MED24,5.21234298708,0.165605164961,1.86470376161e-07,0.0863735960503,0.174888751544,8.47666001237e-09,7.68943628253e-08,4,4,4
ENSG00000168237,GLYCTK,5.19642115741,0.287718497916,2.03161706553e-07,0.028792153461,0.0400803932485,0.00789852184387,0.0224149564405,7,7,7
ENSG00000114988,LMAN2L,-5.15590920897,-0.458347715418,2.5240317865e-07,0.0121153580513,0.0325581135194,0.0168704027169,0.0435085392195,2,3,3
ENSG00000148600,CDHR1,-5.0692042596,-0.103914651369,3.99482334016e-07,0.245044925004,0.445971019376,5.89067530402e-24,3.90168411248e-22,21,21,21
ENSG00000114902,SPCS1,-5.02598693627,-0.437699508026,5.00849984317e-07,0.012386776502,0.0489990093802,0.00324100343663,0.0101303813785,4,5,5
ENSG00000158158,CNNM4,-5.02272577668,-0.525255464207,5.09432562761e-07,0.00878251288158,0.0385530145458,0.00920776593085,0.0256011231851,4,4,4
ENSG00000180979,LRRC57,4.94185189856,0.224157173646,7.73839908205e-07,0.0551068636125,0.0395099823519,0.00836384186847,0.0235592273179,3,3,3
ENSG00000128285,MCHR1,-4.93934035982,-0.195696293717,7.83872870616e-07,0.0583029555028,0.0691326442295,0.000439123240693,0.00168540605111,6,6,6
ENSG00000148700,ADD3,4.87806883575,0.269730921994,1.071295408e-06,0.0346394021197,0.0971721612094,2.67751933512e-05,0.000133805421336,10,11,11
ENSG00000157093,LYZL4,-4.86991797856,-0.151926495024,1.11644582108e-06,0.109238338225,0.0797087581989,0.000153475978287,0.00065296142149,29,29,29
ENSG00000224086,AC245452.1,4.75416856277,0.0793611636302,1.99264738189e-06,0.342030305071,0.609306636891,3.82042110166e-37,1.37429768733e-34,9,10,10
ENSG00000226476,LINC01748,4.73438367018,0.211006238567,2.197217478e-06,0.0461414799708,0.0655007525419,0.000629667444195,0.00233014926493,9,9,9
ENSG00000149485,FADS1,-4.72806129908,-0.176053354895,2.26673758595e-06,0.0635054814031,0.14291921881,2.4965019667e-07,1.78747484672e-06,5,5,5
ENSG00000278769,AC090510.3,4.72219054156,0.173373492986,2.3331793626e-06,0.0664487984095,0.110866451563,6.72200339535e-06,3.78332556894e-05,8,9,9
ENSG00000137185,ZSCAN9,-4.7170655839,-0.311713618309,2.39270578135e-06,0.0182621464942,0.0339945109762,0.0145833432141,0.0383793218128,8,10,10
ENSG00000140326,CDAN1,4.65075123414,0.660570493927,3.3072807467e-06,0.00458679403899,0.0367588926638,0.0110300214055,0.0300039591401,5,6,6
ENSG00000064490,RFXANK,-4.63254343313,-0.281798331609,3.61200525761e-06,0.0271038932074,0.0437129978439,0.00549041154217,0.0162415917221,18,18,18
ENSG00000258429,PDF,-4.58898924645,-0.209119802154,4.45397370608e-06,0.0429898384447,0.0356415028317,0.0123460732049,0.0331048028976,5,5,5
ENSG00000272918,AC005070.3,4.5703610428,0.236386068429,4.86884673411e-06,0.0383059971529,0.112967930598,5.43090730256e-06,3.10439588933e-05,6,6,6
