gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000160712,IL6R,24.9663734565,0.241817886288,1.41812675799e-137,0.0309196784545,0.0691484745655,4.64760937061e-12,2.0610771424e-11,5,6,6
ENSG00000115216,NRBP1,19.5984482348,0.195005587152,1.59411351668e-85,0.03119886459,0.0543143524549,1.02500966342e-09,3.98862961606e-09,13,14,14
ENSG00000157837,SPPL3,-19.5469439609,-0.211210134032,4.37984426036e-85,0.0243642442694,0.0192426779913,0.000316573303313,0.000803569505405,31,32,32
ENSG00000135114,OASL,-15.6981123893,-0.0667246329485,1.55809578317e-55,0.179709173764,0.167935414217,1.60736442783e-28,1.52207026907e-27,70,71,71
ENSG00000135124,P2RX4,-15.3246715524,-0.0520276329092,5.23183312502e-53,0.2411183822,0.321972907674,2.34768071018e-58,6.10005704529e-57,28,28,28
ENSG00000157992,KRTCAP3,-14.7716977866,-0.129575023412,2.23023260373e-49,0.0393087523163,0.0691059172764,4.72051710585e-12,2.09232741918e-11,24,25,25
ENSG00000204385,SLC44A4,-11.8990430123,-0.21351897309,1.1971205423e-32,0.00883965920289,0.0172527491804,0.000653613290695,0.00160125918888,7,7,7
ENSG00000196126,HLA-DRB1,-11.4610455517,-0.0989651568777,2.07000646094e-30,0.0383833820247,0.203372894937,7.11108856442e-35,8.63654800221e-34,25,31,31
ENSG00000157895,C12orf43,11.3860216858,0.0629265900485,4.90894910548e-30,0.0998566350583,0.140122551113,1.0328928186e-23,8.15143991998e-23,15,15,15
ENSG00000134575,ACP2,11.2507570007,0.0588966843926,2.29612859407e-29,0.114089790323,0.166449276092,2.92994600638e-28,2.74716479297e-27,17,18,18
ENSG00000107798,LIPA,10.9917674729,0.0329122591056,4.18646369941e-28,0.305186954636,0.407934960509,4.51381232536e-78,2.09209101534e-76,17,17,17
ENSG00000100242,SUN2,10.8941717091,0.142613956741,1.22879537209e-27,0.0177403080738,0.028452536496,1.13622222205e-05,3.29251011927e-05,11,11,11
ENSG00000266970,AC061992.2,10.6143712667,0.129092917525,2.55508748683e-26,0.0211086714887,0.0316874195224,3.54980127045e-06,1.07024511229e-05,8,8,8
