gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000160712,IL6R,24.8182786712,0.191572261992,5.69225108285e-136,0.0484860822181,0.0831760470537,2.66700931799e-14,1.16883574736e-13,7,8,8
ENSG00000115216,NRBP1,18.9910550864,0.106847923225,2.02224367224e-80,0.0993640568864,0.0847280781169,1.50100209472e-14,6.66857122339e-14,15,15,15
ENSG00000115241,PPM1G,17.3496088917,0.403232097355,1.9859165695e-67,0.00526952670602,0.024553826364,4.62904281965e-05,0.000103175793234,3,4,4
ENSG00000163795,ZNF513,15.1370390628,0.343084435419,9.22756609584e-52,0.0058753663491,0.0116121429173,0.00523484562559,0.00901510018411,6,6,6
ENSG00000135114,OASL,-14.3227427535,-0.0607712203792,1.57771498173e-46,0.163092321666,0.18882375676,3.11246152715e-32,3.10865478911e-31,36,37,37
ENSG00000110931,CAMKK2,-13.0334589323,-0.126443702424,7.89460007838e-39,0.0314480082798,0.0301243141796,6.22703236546e-06,1.50957560129e-05,21,21,21
ENSG00000135124,P2RX4,-12.8475894543,-0.0436142215072,8.87323403102e-38,0.240208586813,0.345986871526,1.33205588763e-63,3.63748828296e-62,16,16,16
ENSG00000273076,AL021707.7,-11.9238779792,-0.118549471459,8.88733234598e-33,0.0334893239191,0.0280386882837,1.31870527398e-05,3.10467830085e-05,13,13,13
ENSG00000204386,NEU1,11.9122718627,0.181490329365,1.02155397903e-32,0.0104523970808,0.0113067238845,0.00586852225686,0.0100418367774,5,5,5
ENSG00000157895,C12orf43,11.8866096958,0.0461323198188,1.3893243645e-32,0.200383310036,0.164702645926,5.92571470512e-28,5.00838252726e-27,14,14,14
ENSG00000203760,CENPW,11.6825519613,0.217999963444,1.56524529318e-31,0.00821839013481,0.0157037987966,0.00115219304819,0.00217083702301,7,7,7
ENSG00000160714,UBE2Q1,-11.4751719107,-0.296896355253,1.75827878884e-30,0.00388896785004,0.0125807951741,0.00364850430437,0.00642515920267,2,2,2
ENSG00000266970,AC061992.2,11.3683944611,0.0908242461385,6.00825749836e-30,0.0553507030177,0.0712002731029,2.19302073849e-12,8.5981053142e-12,15,15,15
ENSG00000213088,ACKR1,-11.2700363005,-0.129958800486,1.84493821145e-29,0.0223800878244,0.0251604567034,3.71926955111e-05,8.37690485054e-05,17,19,19
ENSG00000090621,PABPC4,-11.2180862187,-0.0869262442419,3.32385603415e-29,0.0477918631548,0.0569466699455,3.95022303883e-10,1.34730260328e-09,13,15,15
ENSG00000196126,HLA-DRB1,-11.0626571999,-0.101767069021,1.90372656346e-28,0.0340804521726,0.205364322201,3.067509215e-35,3.40483595651e-34,5,9,9
