gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000259520,AC051619.5,-22.9257472193,-0.121882445705,2.57276805731e-116,0.0705222769801,0.118728300885,0.00283405971091,0.0563512750534,11,11,11
ENSG00000169371,SNUPN,10.9485554457,0.0416389850101,6.75157265519e-28,0.12365622671,0.119350951946,0.00275777859014,0.0554696817195,35,36,36
ENSG00000114126,TFDP2,-10.7665072131,-0.0611569196439,4.95441460967e-27,0.0602271121085,0.0758967841766,0.0183222694666,0.201477282926,13,13,13
ENSG00000267280,TBX2-AS1,10.6371042677,0.0324642619373,2.00256417752e-26,0.220549896331,0.362936931298,1.71178179285e-08,3.79469244674e-06,18,20,20
ENSG00000140400,MAN2C1,10.293378621,0.0422332068812,7.54804280718e-25,0.117961715793,0.202482591921,6.49254744699e-05,0.00307481144774,13,14,14
ENSG00000198945,L3MBTL3,10.2410743037,0.0487864367237,1.29787124924e-24,0.0825754033723,0.247250721286,7.63369136029e-06,0.000550105451637,4,4,4
ENSG00000260259,LINC02166,8.86688601157,0.0509776802374,7.52198430154e-19,0.0564467365844,0.118018066469,0.00292362248208,0.0576371289324,17,17,17
ENSG00000069849,ATP1B3,8.83606297173,0.0298545428137,9.91509039645e-19,0.169892185257,0.105950265066,0.00495363212356,0.0831779099038,34,35,35
ENSG00000131759,RARA,8.83279164277,0.0537027436118,1.02095091705e-18,0.0534304098196,0.0589171408317,0.0385336493585,0.333872842134,20,20,20
ENSG00000204147,ASAH2B,-8.63451408485,-0.0420164778956,5.89771950002e-18,0.0860601614767,0.195069287732,9.16786304457e-05,0.00397708025136,12,12,12
ENSG00000226686,LINC01535,-8.30495855771,-0.0204182932833,9.98542936877e-17,0.297328615701,0.301428888704,4.91821780065e-07,5.856332716e-05,25,27,27
ENSG00000189157,FAM47E,-7.97343875237,-0.0266529069207,1.54319107401e-15,0.173889949621,0.303923764826,4.3151807978e-07,5.28939632144e-05,19,19,19
ENSG00000075399,VPS9D1,-7.81130197601,-0.03877306296,5.66002232571e-15,0.0739551170701,0.149845322565,0.000716425919903,0.0205159887849,9,9,9
ENSG00000204525,HLA-C,7.79360693543,0.0494091813148,6.51229178728e-15,0.0464833481038,0.465772956066,2.94023199297e-11,2.18816265248e-08,12,18,18
ENSG00000055955,ITIH4,-7.49763020633,-0.0333495643931,6.49819140738e-14,0.101337082844,0.224131231455,2.33550270653e-05,0.00137090719433,13,13,13
ENSG00000244462,RBM12,-7.48606887558,-0.0206200431122,7.09671632351e-14,0.25792188721,0.216152496346,3.41337343626e-05,0.00186198627394,35,36,36
ENSG00000244731,C4A,-7.46641255624,-0.0259392534688,8.24106940997e-14,0.128700654879,0.304295975455,4.23163139371e-07,5.24873422513e-05,58,64,64
ENSG00000103723,AP3B2,7.41401018186,0.0218000853132,1.22536506154e-13,0.220255613489,0.198693089531,7.74730957387e-05,0.00354809751429,30,33,33
ENSG00000137806,NDUFAF1,-7.35427077355,-0.0305487809718,1.91972234691e-13,0.108925468815,0.109523994117,0.00423850272274,0.0744968063738,26,26,26
ENSG00000233006,MIR3936HG,7.21479342146,0.030060845721,5.40159141424e-13,0.111371370167,0.120998676769,0.00256557768943,0.0528275769688,13,13,13
ENSG00000138675,FGF5,-6.95471050189,-0.0269439249291,3.53286758672e-12,0.127399167399,0.100763611226,0.00620971504891,0.0969847943507,21,23,23
ENSG00000121236,TRIM6,-6.81097119322,-0.0222234412969,9.69420440006e-12,0.192318429452,0.358721698136,2.17514452695e-08,4.62506751556e-06,36,38,38
ENSG00000121068,TBX2,6.58728061348,0.027730021414,4.47955173692e-11,0.114574982045,0.0888626840331,0.0104215930784,0.137464709547,24,27,27
ENSG00000128274,A4GALT,-6.41943996658,-0.041943849552,1.36776580669e-10,0.0417231284958,0.108681256969,0.00439730752599,0.0761667005295,6,7,7
ENSG00000227214,HCG15,6.35433591435,0.0282692600106,2.09328954452e-10,0.120425205169,0.0853338758433,0.0121501938461,0.154099658774,27,32,32
ENSG00000237541,HLA-DQA2,-6.32397326826,-0.0214592314362,2.5492184404e-10,0.154874084533,0.225792943566,2.1571582357e-05,0.00128065137651,39,43,43
ENSG00000213963,AC019080.1,-6.24955657307,-0.0146482340932,4.11619628881e-10,0.32981014532,0.160152507964,0.000451433706456,0.0142885695645,60,62,62
ENSG00000204536,CCHCR1,6.24921644885,0.0216945395189,4.12516910431e-10,0.160359005286,0.265407797433,3.10669305236e-06,0.000256893927877,27,30,30
ENSG00000010310,GIPR,-6.23292897268,-0.0302036582014,4.57793772028e-10,0.0791522393504,0.0943988246477,0.00819158747214,0.116835249654,29,31,31
ENSG00000172345,STARD5,-6.18891827402,-0.0248138005914,6.05784784952e-10,0.112169421507,0.074289389471,0.0196521331566,0.211743097579,24,24,24
ENSG00000273559,CWC25,6.13367696735,0.0264925964195,8.58707967561e-10,0.110238619672,0.166749970984,0.000335245536788,0.0112493502344,20,20,20
ENSG00000139220,PPFIA2,6.13040127825,0.0477815205559,8.7657696464e-10,0.0302618658825,0.156262368332,0.00053762489562,0.0164750405514,7,7,7
ENSG00000180806,HOXC9,-6.02546139749,-0.0457654450757,1.68627863339e-09,0.0356348573366,0.059830981359,0.0370131045836,0.325296952051,19,19,19
ENSG00000185324,CDK10,6.01576857701,0.00924353514474,1.79035193809e-09,0.707537213721,0.423075245527,4.71551600897e-10,2.23322551352e-07,89,94,94
ENSG00000269918,AF131215.6,-6.00941294447,-0.031753302194,1.86196312134e-09,0.0687083153876,0.0643114788448,0.0303983405106,0.284054089488,20,21,21
ENSG00000270022,Z93241.1,-5.99489812357,-0.0217198965131,2.03613047896e-09,0.153764052203,0.0727580594755,0.0210096120359,0.220775741606,40,43,43
