gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000171766,GATM,25.5728551822,0.0867004778089,3.05856603742e-144,0.163829034414,0.225557813684,5.28947188792e-41,8.76575749874e-40,12,13,13
ENSG00000171763,SPATA5L1,25.0660846129,0.106884842333,1.16596790017e-138,0.103808833212,0.172017872961,1.00156505036e-30,1.15718594518e-29,7,7,7
ENSG00000259520,AC051619.5,-20.3362254997,-0.0488039150705,6.14842555356e-92,0.351385868061,0.41285839787,1.84804661753e-83,9.89664608505e-82,24,25,25
ENSG00000163749,CCDC158,-19.060425582,-0.175778293169,5.38351448733e-81,0.0214345188214,0.0254259924431,2.07569721976e-05,6.03611146067e-05,27,29,29
ENSG00000131196,NFATC1,-18.0884592982,-0.061778052592,3.92918929605e-73,0.162582670014,0.216177847211,3.74078856034e-39,5.83491885467e-38,29,30,30
ENSG00000138606,SHF,-17.5870031828,-0.161234450787,3.0983572766e-69,0.0240055021572,0.0297451641224,4.04522231785e-06,1.25242969927e-05,12,12,12
ENSG00000137857,DUOX1,-15.5117996591,-0.171131962781,2.88673081078e-54,0.0163364970196,0.0254619745799,2.0475763203e-05,5.96105982455e-05,9,9,9
ENSG00000118804,STBD1,15.1357562351,0.199112546025,9.40928282347e-52,0.0114003440363,0.0227791924897,5.66782443085e-05,0.000158143518095,7,7,7
ENSG00000116127,ALMS1,-14.6583467249,-0.0786989348715,1.19138649292e-48,0.062113397544,0.0889787387762,5.64036744751e-16,3.37170292564e-15,17,17,17
ENSG00000169220,RGS14,-14.5409964562,-0.060235453546,6.66158427726e-48,0.115317533814,0.195247497038,4.2009691305e-35,5.66205301703e-34,7,7,7
ENSG00000267280,TBX2-AS1,13.861195287,0.129736682422,1.08846487802e-43,0.0231393357643,0.0526659506611,6.85338154434e-10,2.81866400936e-09,3,3,3
ENSG00000131067,GGT7,13.7604447487,0.0530348737418,4.40806756396e-43,0.126806664276,0.220309001813,5.76846115122e-40,9.29494807108e-39,13,14,14
ENSG00000131069,ACSS2,13.7115794571,0.110565943893,8.65529567857e-43,0.0289301283314,0.0328398255404,1.25517012803e-06,4.05514774446e-06,12,12,12
ENSG00000141744,PNMT,-13.4437309356,-0.151395594027,3.35105545945e-41,0.0169320007846,0.0384397892532,1.51046752506e-07,5.24622929654e-07,10,10,10
ENSG00000198522,GPN1,-13.2791805536,-0.0798966163486,3.05721419826e-40,0.0550027471242,0.0819273811013,8.85852576317e-15,4.98197452115e-14,14,16,16
ENSG00000173991,TCAP,-12.9486471977,-0.149333160446,2.39130912912e-38,0.016088406855,0.04451457193,1.51458274559e-08,5.66383647114e-08,4,4,4
ENSG00000167196,FBXO22,12.7780004366,0.0699969359925,2.17591886496e-37,0.0823543990302,0.102794896026,2.42488808413e-18,1.62502618842e-17,22,23,23
ENSG00000144034,TPRKB,12.7065216363,0.0652153823457,5.44008731654e-37,0.0732160164385,0.114857567756,1.95854767184e-20,1.45516302321e-19,12,12,12
ENSG00000155367,PPM1J,-12.1230587226,-0.0536054421562,7.97270595989e-34,0.0778132546222,0.150950052273,7.40780118537e-27,7.29741200831e-26,4,4,4
ENSG00000109332,UBE2D3,11.9979282206,0.0928971917322,3.64301559483e-33,0.0310777952194,0.054986816747,2.83141129115e-10,1.19724647543e-09,14,15,15
ENSG00000161395,PGAP3,-11.940291973,-0.0567514269549,7.29666082503e-33,0.0892484106456,0.137668875018,1.8284365852e-24,1.64659655953e-23,16,16,16
ENSG00000140400,MAN2C1,11.2825420602,0.059856892241,1.60053026e-29,0.0685638750324,0.0977658703169,1.77737691316e-17,1.14150609081e-16,14,14,14
ENSG00000101460,MAP1LC3A,11.2505928334,0.0711873606872,2.30040650249e-29,0.047026897349,0.0546076217703,3.27163477171e-10,1.37758265808e-09,16,17,17
ENSG00000135211,TMEM60,11.0131447757,0.0466303498202,3.30270373649e-28,0.108695166164,0.150868265455,7.66531320779e-27,7.53874155101e-26,16,16,16
ENSG00000121989,ACVR2A,11.001514777,0.078850508764,3.75766023477e-28,0.0378438730826,0.0691287396968,1.25717236866e-12,6.19726570262e-12,7,7,7
ENSG00000143126,CELSR2,10.9928189491,0.0282253428116,4.13796500418e-28,0.291626382115,0.396285392597,3.39481516148e-79,1.56691123323e-77,25,29,29
ENSG00000169371,SNUPN,10.8819162878,0.0863147935265,1.40576161973e-27,0.0291588385291,0.0497693758232,2.0620173795e-09,8.20578338429e-09,13,14,14
ENSG00000021488,SLC7A9,-10.8526405277,-0.0522710432657,1.9374587762e-27,0.0784974963389,0.118861899926,3.90402576018e-21,3.0096519818e-20,19,20,20
ENSG00000011105,TSPAN9,10.5383652037,0.131103160626,5.74895391245e-26,0.0123052782193,0.022779354485,5.66747553043e-05,0.000158143518095,11,11,11
ENSG00000157992,KRTCAP3,10.5280545906,0.121260560064,6.41464546924e-26,0.0147846916376,0.0575900858218,1.04884055685e-10,4.55010229073e-10,9,10,10
ENSG00000108306,FBXL20,10.1694165912,0.13639824769,2.7153011228e-24,0.0119855546143,0.0374348874501,2.20889156222e-07,7.58444939561e-07,20,23,23
ENSG00000244005,NFS1,10.1584176245,0.0983475718046,3.03969626902e-24,0.0215830988268,0.0233375614771,4.58451101452e-05,0.000129215477556,18,20,20
ENSG00000162650,ATXN7L2,-9.75359267622,-0.172778161345,1.78053022307e-22,0.00576784224409,0.0138688560851,0.00172151918575,0.00403641116607,2,2,2
ENSG00000100983,GSS,9.73905649034,0.0550640079409,2.05453012237e-22,0.0610001654231,0.0812199697311,1.16662737373e-14,6.52234331277e-14,20,22,22
ENSG00000213963,AC019080.1,-9.73001643608,-0.118718107161,2.24556672332e-22,0.0129867951331,0.0285649709286,6.32218518173e-06,1.92275827392e-05,4,5,5
ENSG00000143028,SYPL2,9.71982945256,0.0301117484786,2.48196852596e-22,0.196675743699,0.271204272665,2.49437337623e-50,5.64109728331e-49,21,21,21
