gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000259520,AC051619.5,-19.9749331271,-0.0441514846625,9.10056317213e-89,0.416245079379,0.421472681125,5.21279836552e-10,6.50444864315e-08,10,11,11
ENSG00000169220,RGS14,-14.1011540284,-0.0461319994069,3.7360964475e-45,0.18479579915,0.190729302799,0.000112073758452,0.00192213413879,4,4,4
ENSG00000267280,TBX2-AS1,13.7015904244,0.0846687563374,9.93245910763e-43,0.0529759154816,0.303340599784,4.44932696505e-07,2.04218227528e-05,2,2,2
ENSG00000121068,TBX2,13.6404542923,0.174529623632,2.30122539724e-42,0.0123759884283,0.154601053238,0.000579186038172,0.00705381570043,1,1,1
ENSG00000084734,GCKR,12.798207283,1.34839595296,1.67779833952e-37,0.000185298704323,0.0758270028709,0.0183780727589,0.0975848245116,1,1,1
ENSG00000169371,SNUPN,12.7291939847,0.0517096127391,4.07019162787e-37,0.109124101839,0.217366340276,3.22255348761e-05,0.000703894859275,21,21,21
ENSG00000273245,AC092653.1,-12.6530203003,-0.144876454991,1.07655185699e-36,0.0151084479165,0.0891014460853,0.0103139452933,0.0628794593391,7,7,7
ENSG00000069849,ATP1B3,11.82699536,0.0673293148705,2.83094825211e-32,0.0609597075357,0.170339858115,0.00028493895823,0.00405964107435,5,6,6
ENSG00000246560,UBE2D3-AS1,-11.4604425685,-0.122668923137,2.08446912158e-30,0.016769447542,0.11304281228,0.00363463089891,0.028775711743,6,6,6
ENSG00000101460,MAP1LC3A,11.1332661735,0.0534476845889,8.6410121317e-29,0.0827878687366,0.0757907328813,0.0184071450698,0.0976994622935,4,4,4
ENSG00000171763,SPATA5L1,10.9902946953,0.0718922877407,4.25534398869e-28,0.0458104827018,0.0696932933483,0.0240179908195,0.119277143159,2,2,2
ENSG00000189157,FAM47E,-10.9758159602,-0.0291537257617,4.99528080639e-28,0.277233093798,0.493809072536,4.21947370122e-12,1.22118601369e-09,6,6,6
ENSG00000121989,ACVR2A,10.7516934955,0.11153067443,5.81834191446e-27,0.0180267217218,0.081521172372,0.0143422529252,0.0806214908164,4,4,4
ENSG00000161395,PGAP3,-10.7444470677,-0.0591990725612,6.29379012166e-27,0.0707152720878,0.205004804333,5.77009299298e-05,0.00115059519414,3,3,3
ENSG00000114126,TFDP2,-10.3829483624,-0.0327407623052,2.96474983562e-25,0.208120292425,0.235479590665,1.35376869473e-05,0.000350432696407,15,15,15
ENSG00000108306,FBXL20,10.1302939909,0.0287765742482,4.05428624546e-24,0.231099307709,0.275595906764,1.85997036239e-06,6.71716852884e-05,23,27,27
ENSG00000163749,CCDC158,-9.90440915722,-0.0413441657853,3.98317413529e-23,0.0964816018194,0.177170956638,0.000208830783743,0.00317404512884,18,18,18
ENSG00000196381,ZNF781,9.74610149876,0.117270929752,1.91688600205e-22,0.0126019284385,0.106659686492,0.00480273293398,0.0356154266471,3,3,3
ENSG00000198945,L3MBTL3,9.3180475235,0.0358651445264,1.18500792937e-20,0.119170818723,0.424254357738,4.37943986197e-10,5.66824644993e-08,1,1,1
ENSG00000073605,GSDMB,-9.25897217511,-0.149601334655,2.06409512638e-20,0.00917177165281,0.0605474222525,0.0358640365081,0.16134170828,6,6,6
ENSG00000140400,MAN2C1,9.1386364912,0.0220375366628,6.32446731718e-20,0.34095967044,0.334738853682,8.27030751078e-08,5.03908385701e-06,10,10,10
ENSG00000226686,LINC01535,-9.04637493446,-0.0183386710671,1.47793330644e-19,0.447178349945,0.441092440129,1.49913840142e-10,2.33127209021e-08,17,19,19
ENSG00000203791,EEF1AKMT2,-8.86953668114,-0.04716512926,7.34508614552e-19,0.0709203797999,0.162140448949,0.00041278700066,0.00543033808065,4,4,4
ENSG00000127947,PTPN12,-8.84705762899,-0.0387098171948,8.98569964627e-19,0.0997905652521,0.195279199714,9.07903459858e-05,0.00161976817607,6,7,7
ENSG00000170430,MGMT,8.76516299954,0.0232399235177,1.86506619003e-18,0.28878612786,0.262354867588,3.61850942549e-06,0.00011818573575,17,17,17
ENSG00000164038,SLC9B2,8.73987812268,0.0200077254967,2.33362043251e-18,0.358735331572,0.0987988484456,0.00676425864968,0.0457344651985,12,13,13
ENSG00000253893,FAM85B,8.68289168176,0.0463826703123,3.85831790694e-18,0.0673086866865,0.160529476848,0.000443841813525,0.00573389690653,3,3,3
ENSG00000169752,NRG4,8.6300573349,0.287590361552,6.13212268936e-18,0.00162987154511,0.0596707883248,0.0372751422562,0.166147468307,1,3,3
ENSG00000113889,KNG1,-8.5757484436,-0.0944410930817,9.84445023072e-18,0.0170586931039,0.152422665442,0.000638500231456,0.00760289589891,1,1,1
ENSG00000115216,NRBP1,-8.43968319687,-0.0707483017564,3.18198916706e-17,0.0287086357417,0.113463083637,0.00356846829443,0.0283491202132,3,3,3
ENSG00000273486,AC096992.2,-8.3279877647,-0.150656549891,8.22280102078e-17,0.00497059925296,0.098979289889,0.00671133823462,0.045479956466,3,3,3
ENSG00000124564,SLC17A3,-8.28433060809,-0.109471229657,1.18775236152e-16,0.0111491472082,0.12454638328,0.00219557478639,0.0197886623698,5,6,6
ENSG00000204147,ASAH2B,-8.27338174816,-0.0519688609159,1.30211940877e-16,0.0530901224903,0.277016500126,1.73069549154e-06,6.32705836013e-05,4,5,5
ENSG00000172922,RNASEH2C,8.18843460083,0.36498820452,2.64645671879e-16,0.000954108073749,0.156912641607,0.000522167968338,0.00650384705573,1,2,2
ENSG00000147439,BIN3,-8.08016220869,-0.0529419705962,6.46806802108e-16,0.0451554903404,0.111517044968,0.00388521271534,0.0303411318011,5,6,6
ENSG00000244731,C4A,-7.90661988335,-0.0203297224426,2.64471603343e-15,0.192002126847,0.431849859806,2.71047128655e-10,3.84223133803e-08,8,9,9
ENSG00000204525,HLA-C,7.8993202156,0.0374785643708,2.80428600482e-15,0.0833212392918,0.575927442161,7.31889454983e-15,8.34141052778e-12,11,14,14
ENSG00000169410,PTPN9,-7.89011158657,-0.0340012622885,3.01916458369e-15,0.10415969236,0.0537727636303,0.0483741771268,0.201886862201,18,19,19
ENSG00000144035,NAT8,-7.86869486936,-0.039277164015,3.58360021464e-15,0.0798654534698,0.0573692693137,0.0412567715148,0.179197180762,5,5,5
ENSG00000247556,OIP5-AS1,7.81087042668,0.0380762355181,5.67943795231e-15,0.083137964956,0.112240708674,0.00376429736066,0.0295221785478,5,5,5
ENSG00000174516,PELI3,-7.68898427111,-0.0246492717326,1.48307692231e-14,0.177653372063,0.0751762138091,0.0189068221818,0.0996938930882,20,20,20
ENSG00000138085,ATRAID,7.662597171,0.0313361049369,1.82210172746e-14,0.120828767769,0.0670542212828,0.0269563982611,0.129876861726,5,5,5
ENSG00000115241,PPM1G,-7.64410181602,-0.032354289601,2.10408867877e-14,0.102055122225,0.057098832397,0.0417524337529,0.180880917784,23,24,24
ENSG00000103723,AP3B2,7.58113583466,0.0262322060026,3.42542730562e-14,0.157697786214,0.323018542266,1.56294409295e-07,8.61603942035e-06,2,3,3
ENSG00000120647,CCDC77,7.54887291608,0.0369018245421,4.39041010256e-14,0.0742528522301,0.221170230587,2.68968975743e-05,0.000607234617175,5,5,5
ENSG00000204308,RNF5,-7.54518032074,-0.0664299225565,4.51662120305e-14,0.0202555883314,0.100266203805,0.00634567390701,0.0437706563636,1,1,1
ENSG00000269918,AF131215.6,-7.49390771179,-0.0544592171457,6.68527390584e-14,0.0356393816626,0.108489231439,0.00443431067206,0.0334185048045,5,5,5
ENSG00000173402,DAG1,-7.48769670806,-0.188258450454,7.00927671024e-14,0.00306221459009,0.136869846893,0.00127522784748,0.0130296119254,2,2,2
ENSG00000163131,CTSS,7.4711965012,0.0268811687465,7.94688784112e-14,0.131042850835,0.0893144306478,0.0102188581729,0.0624660905313,10,10,10
ENSG00000239213,NCK1-DT,-7.4158173615,-0.0885843228657,1.20876981168e-13,0.0112899730592,0.0751502972559,0.0189281934203,0.0997535899071,5,6,6
ENSG00000121236,TRIM6,-7.28522313035,-0.022438733729,3.21138346928e-13,0.21769750049,0.318348372803,2.00844467019e-07,1.05686793024e-05,21,21,21
ENSG00000170606,HSPA4,7.19487059229,0.0751566540855,6.25200329744e-13,0.0168126747838,0.0788548898277,0.0161071923941,0.0880869430015,3,3,3
ENSG00000138675,FGF5,-7.12379680219,-0.0289520473798,1.0499380089e-12,0.11538424017,0.204602357835,5.87984761828e-05,0.00116357326372,2,2,2
ENSG00000183172,SMDT1,6.98064355794,0.0273017655369,2.93830938438e-12,0.127122626548,0.179422246076,0.000188426516999,0.00293674776456,3,4,4
ENSG00000055955,ITIH4,-6.97090374719,-0.0362461560862,3.1491138091e-12,0.0685089834694,0.258319930704,4.42280928716e-06,0.000139640151403,11,11,11
