gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000104154,SLC30A4,-25.9760494232,-0.484671924691,9.23651065356e-149,0.00547285593991,0.0119591545463,0.00362247161284,0.00622616620923,1,1,1
ENSG00000171763,SPATA5L1,25.7705040503,0.0800034502444,1.89925558156e-146,0.194660800063,0.17293330077,6.76759804165e-31,7.00314460193e-30,4,5,5
ENSG00000171766,GATM,24.9838279669,0.0762709236642,9.1641313708e-138,0.199995355372,0.231286686563,3.82800827872e-42,6.01777573224e-41,5,5,5
ENSG00000163749,CCDC158,-22.0709136082,-0.117529758529,6.01635680691e-108,0.0644691121635,0.0391560166623,1.15197711141e-07,3.27758646217e-07,23,23,23
ENSG00000259520,AC051619.5,-19.6902533375,-0.0414136085778,2.61379134102e-86,0.459218083592,0.443401808415,1.21490521532e-91,7.48306976824e-90,14,16,16
ENSG00000131196,NFATC1,-17.9226841658,-0.0512655626025,7.84498963768e-72,0.233754044846,0.235806473139,4.7569790384e-43,7.67881938336e-42,42,42,42
ENSG00000138606,SHF,-17.8396472234,-0.314671408268,3.47885259048e-71,0.00641445590243,0.0494076230576,2.36582916633e-09,7.75024849605e-09,9,11,11
ENSG00000118804,STBD1,16.3452918318,0.103243357752,4.69915750089e-60,0.0474448042505,0.0356868898043,4.27791642566e-07,1.14918488042e-06,16,17,17
ENSG00000169220,RGS14,-14.1362444052,-0.0448237426024,2.27084000518e-45,0.196674288753,0.204270276071,7.76277985119e-37,1.00642879292e-35,4,4,4
ENSG00000137857,DUOX1,-13.3741807012,-0.139339253548,8.55916025497e-41,0.0179569252961,0.0361325234646,3.61456459602e-07,9.79754389673e-07,4,4,4
ENSG00000131067,GGT7,13.3226022999,0.0437846901919,1.71040041301e-40,0.173881631688,0.221828394458,2.89329573363e-40,4.24169846505e-39,7,8,8
ENSG00000144034,TPRKB,12.6205165975,0.0862459888794,1.62750127461e-36,0.0413546131291,0.118068184784,5.3774556698e-21,3.61172097033e-20,9,9,9
ENSG00000131069,ACSS2,12.5158811445,0.0827420640335,6.11257605009e-36,0.0423837649445,0.0446112471893,1.46009097408e-08,4.4782905862e-08,8,8,8
ENSG00000010379,SLC6A13,12.1627458162,0.224188498288,4.90807601056e-34,0.00581020926842,0.0217684740429,8.32379821132e-05,0.000175572214025,3,3,3
ENSG00000161395,PGAP3,-11.8871411661,-0.0529410866857,1.38051406439e-32,0.114873563309,0.135877149846,3.82094363391e-24,2.97098534085e-23,13,13,13
ENSG00000109332,UBE2D3,11.843698846,0.0892966203789,2.31990982825e-32,0.0326013772601,0.0674379620443,2.40980882839e-12,9.75545534452e-12,6,6,6
ENSG00000155367,PPM1J,-11.7317785151,-0.0695300287685,8.75984882422e-32,0.0438640820773,0.158567816336,3.02981893812e-28,2.83164900964e-27,6,7,7
ENSG00000116127,ALMS1,-11.6121105197,-0.0767439119387,3.57676652227e-31,0.0401460212877,0.102103603636,3.19051122294e-18,1.86099405431e-17,16,16,16
ENSG00000101460,MAP1LC3A,11.3645371662,0.0442289717737,6.27964141591e-30,0.126373245232,0.0790027019908,2.76199059589e-14,1.27287140664e-13,7,7,7
ENSG00000267280,TBX2-AS1,11.3465456147,0.0513485432043,7.71508421252e-30,0.0943857616806,0.0757995399406,9.56444358324e-14,4.24728133235e-13,12,12,12
ENSG00000021488,SLC7A9,-11.3128884851,-0.0313968117968,1.13297189955e-29,0.230792052389,0.149913982475,1.1417964347e-26,9.98836658121e-26,17,17,17
ENSG00000173991,TCAP,-11.2375962585,-0.15610397075,2.66541247586e-29,0.0112599890475,0.0476626313872,4.58939924863e-09,1.46785904961e-08,4,4,4
ENSG00000169371,SNUPN,11.1546268725,0.0486510814819,6.7977394989e-29,0.0929560778189,0.0666635456885,3.24555127087e-12,1.30334810382e-11,14,15,15
ENSG00000121068,TBX2,11.0897177301,0.0810460306853,1.40731126198e-28,0.0376237712831,0.0448270385203,1.34541896291e-08,4.14843260272e-08,16,16,16
