gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000166035,LIPC,-64.8423763001,-0.249293805585,0.0,0.184693960774,0.277667953647,2.93320445189e-16,7.93853531056e-15,10,11,11
ENSG00000087237,CETP,-85.5284602383,-1.30807597478,0.0,0.011085812246,0.0530294238458,0.000819169626365,0.00336599717454,6,6,6
ENSG00000128918,ALDH1A2,-36.3863561267,-0.22155895926,6.9970019701e-290,0.0686553152085,0.126952682432,1.27705835053e-07,1.1643079458e-06,8,8,8
ENSG00000149485,FADS1,25.0378011977,0.20101984473,2.3708095539e-138,0.0397694881116,0.100586003809,3.04821572923e-06,2.12554902932e-05,3,3,3
ENSG00000277229,AC084781.1,-22.9679826128,-0.30101852201,9.74314498051e-117,0.0151261792935,0.0274894437433,0.0166943197464,0.0450074494172,4,4,4
ENSG00000221968,FADS3,22.6517383427,0.913332717527,1.34114410283e-113,0.00160499726009,0.092358604805,8.09788499458e-06,5.22852519889e-05,5,5,5
ENSG00000100979,PLTP,21.5333599489,0.119134397703,7.5831554248e-103,0.0860422110541,0.117516216526,4.00632797005e-07,3.31257484866e-06,15,16,16
ENSG00000173273,TNKS,21.3646167164,0.131749858561,2.851839505e-101,0.0730975039351,0.0817673387205,2.82746703595e-05,0.000164635338215,21,21,21
ENSG00000172247,C1QTNF4,19.106490536,0.0761613929158,2.22968875208e-81,0.148196500246,0.358823278247,1.20807019802e-21,6.04610370534e-20,7,8,8
ENSG00000134575,ACP2,-19.0418049827,-0.214192690393,7.68335795303e-81,0.0237173024048,0.088950627637,1.21190914371e-05,7.55914842752e-05,3,4,4
ENSG00000102904,TSNAXIP1,16.5913985388,0.153793281456,8.04255609159e-62,0.0329772416474,0.0625607975996,0.000268795839486,0.00125774911981,8,8,8
ENSG00000025434,NR1H3,16.3914985657,0.588681609846,2.19954588097e-60,0.0019416541408,0.065203589503,0.000197325709012,0.000951569656661,1,1,1
ENSG00000267467,APOC4,16.2324106249,0.0945742543117,2.97541059653e-59,0.0831879007229,0.201939504438,9.85512034597e-12,1.60584984242e-10,5,5,5
ENSG00000090621,PABPC4,15.8996326411,0.0979596839891,6.37374071912e-57,0.0690095651161,0.0776215559433,4.60378787411e-05,0.000256517292009,10,11,11
ENSG00000147416,ATP6V1B2,15.5568701234,0.14289830676,1.4291890468e-54,0.0302687534432,0.0293443216963,0.0133618466591,0.0372611166121,16,17,17
ENSG00000149091,DGKZ,15.550005416,0.348313082675,1.59092366819e-54,0.00620092420913,0.0241541612763,0.0249889780547,0.063711790679,6,6,6
ENSG00000234906,APOC2,15.5448627296,0.0943107901393,1.72391598657e-54,0.0758827202071,0.130543155198,8.24523689626e-08,7.73727140891e-07,13,15,15
ENSG00000155158,TTC39B,-15.463844674,-0.296059795456,6.08553075445e-54,0.0067335783133,0.236257669305,9.88109847467e-14,2.03850186416e-12,3,3,3
ENSG00000253111,AC091114.1,-15.4512448126,-0.147395102343,7.40003929652e-54,0.027805847417,0.048911031225,0.00132635674114,0.00512368516119,6,6,6
ENSG00000165916,PSMC3,-15.1477864372,-0.120041444003,7.83617197174e-52,0.0378176561052,0.19599280538,2.1475819484e-11,3.37441489201e-10,4,5,5
ENSG00000119242,CCDC92,14.7591236496,0.103786545521,2.68750200258e-49,0.0547138091608,0.0885614203452,1.26894825758e-05,7.89150661962e-05,13,15,15
ENSG00000250091,DNAH10OS,14.1273055967,0.080361162319,2.57821523567e-45,0.0882768299615,0.0319342736115,0.00980697263172,0.0286682099917,15,16,16
ENSG00000259250,AC018904.1,-13.3781942678,-0.0956430661258,8.1093610272e-41,0.0558805267938,0.0321640874563,0.00954222355069,0.0280092762036,25,25,25
