gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000134222,PSRC1,-42.492526313,-0.138613701574,0.0,0.257932752513,0.432696615232,3.68701713663e-27,4.44273822871e-25,10,10,10
ENSG00000134243,SORT1,-42.6637362163,-0.108466803322,0.0,0.420358608567,0.543412067453,6.40020350538e-37,3.36330694208e-34,32,34,34
ENSG00000143126,CELSR2,-41.7230458063,-0.127029774458,0.0,0.294027067461,0.385059746161,1.57845776083e-23,1.27612238972e-21,30,30,30
ENSG00000143106,PSMA5,-28.8045998555,-0.343117021552,1.87849781753e-182,0.0193642507995,0.0216868799455,0.0337816138699,0.142365910267,17,17,17
ENSG00000267680,ZNF224,23.3153946683,0.172368452894,3.09460570914e-120,0.0483304764782,0.0411862103778,0.00328302454912,0.01899916134,28,29,29
ENSG00000162650,ATXN7L2,-17.2505119365,-0.0522733971081,1.1091226126e-66,0.298717573681,0.346271305803,9.05443773552e-21,5.42062826204e-19,30,32,32
ENSG00000282097,AL160408.6,-13.8516098273,-0.0644968864144,1.24392669957e-43,0.130275044705,0.270378567899,8.35757229945e-16,2.87993720876e-14,9,9,9
ENSG00000143028,SYPL2,-13.8190979803,-0.0343992767683,1.95504254357e-43,0.448607131628,0.46212322026,1.47921400983e-29,2.35672693876e-27,33,34,34
ENSG00000186567,CEACAM19,12.9349618973,0.256501369158,2.85764721858e-38,0.00672365956603,0.0227902174298,0.0295098936968,0.127134900749,6,8,8
ENSG00000175164,ABO,12.7488329368,0.0933285015988,3.16447133477e-37,0.0529991165609,0.24177197194,4.6327527529e-14,1.31005106995e-12,10,12,12
ENSG00000218819,TDRD15,-12.4266743918,-0.0772742583022,1.87264008192e-35,0.0737840798189,0.155951288635,3.57426606702e-09,5.91066131607e-08,9,10,10
ENSG00000105376,ICAM5,-12.0494041912,-0.0712721845218,1.95356901015e-33,0.0874112341643,0.0911729346331,9.31820444074e-06,9.33201649603e-05,28,28,28
ENSG00000110080,ST3GAL4,11.9105241004,0.0642318105753,1.04319487601e-32,0.0992867684757,0.220894952899,7.93776011382e-13,1.96296138344e-11,10,10,10
ENSG00000173273,TNKS,11.8914726864,0.0710967277915,1.31074781574e-32,0.0821859938632,0.0735162996861,7.45376639145e-05,0.000624492261264,33,33,33
ENSG00000159915,ZNF233,-11.8741906079,-0.151138791591,1.61186569328e-32,0.0163581127728,0.0196589981514,0.0433887464221,0.175503165451,11,12,12
ENSG00000221968,FADS3,11.7911364605,0.131940404692,4.33649460839e-32,0.0217864990788,0.0488464207671,0.001336428885,0.00853275789622,4,4,4
ENSG00000125744,RTN2,11.7750911961,0.175149869109,5.24603355757e-32,0.0130961774726,0.0369787664872,0.0053912646026,0.0294944892284,13,14,14
