gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000143126,CELSR2,-42.3041605938,-0.13424459986,0.0,0.268935075462,0.386897628807,1.15699463167e-23,7.14901743682e-22,5,5,5
ENSG00000187244,BCAM,45.7136834563,0.449391510425,0.0,0.03082788922,0.0344845247806,0.00724292620059,0.0221969346935,6,7,7
ENSG00000134243,SORT1,-41.9725474451,-0.505871869391,0.0,0.0183516934849,0.558477059862,1.99309674342e-38,6.85552803491e-36,4,4,4
ENSG00000134222,PSRC1,-42.4925634627,-0.125248472286,0.0,0.317316532263,0.423336551427,2.01069744509e-26,1.58493226109e-24,8,8,8
ENSG00000105726,ATP13A1,-21.5209200638,-0.446110338039,9.91749080808e-103,0.00638525379034,0.0516017286564,0.000968053386166,0.00388741964752,3,3,3
ENSG00000122008,POLK,18.3470209544,0.22066026893,3.48715226602e-75,0.0193553143153,0.0349723440681,0.00683597088909,0.0211415558738,7,7,7
ENSG00000186567,CEACAM19,17.7066516901,0.103704181111,3.72588071172e-70,0.0759048155965,0.138263219661,3.20292600531e-08,3.23853309291e-07,9,11,11
ENSG00000253111,AC091114.1,17.2113988875,0.172046194048,2.18099099561e-66,0.027805847417,0.048911031225,0.00132635674114,0.00512368516119,6,6,6
ENSG00000130202,NECTIN2,15.6691762595,0.0479524709872,2.45743635539e-55,0.276912533686,0.506517452361,1.98228552206e-33,3.60585360638e-31,16,17,17
ENSG00000132855,ANGPTL3,15.3354568987,0.199709814488,4.43143735003e-53,0.0156688300973,0.0363637942737,0.00579780943518,0.0183908381782,4,5,5
ENSG00000273777,CEACAM20,-15.0861523595,-0.18614852778,1.99756321229e-51,0.0190008286987,0.0290862940125,0.013781348668,0.0382148551728,13,14,14
ENSG00000142252,GEMIN7,14.3360233307,0.0795560258197,1.30311443226e-46,0.0922519589491,0.12778558605,1.15395231016e-07,1.05870367622e-06,1,1,1
ENSG00000278318,ZNF229,14.1962570324,0.673018722312,9.66378958267e-46,0.00122054482917,0.0239199646787,0.025711202229,0.0653506010707,2,2,2
ENSG00000282097,AL160408.6,-14.1564027132,-0.0539179413596,1.70501306708e-45,0.195693015044,0.315840665606,1.02690654667e-18,3.77223651453e-17,20,22,22
ENSG00000173273,TNKS,12.3872030457,0.0788397974581,3.06549531079e-35,0.0730975039351,0.0817673387205,2.82746703595e-05,0.000164635338215,21,21,21
ENSG00000142233,NTN5,12.2450655274,0.323718546758,1.78532830645e-34,0.00391243893027,0.0332850509915,0.00835118275215,0.0250125557796,2,2,2
ENSG00000130733,YIPF2,12.1699246384,1.11114099803,4.49497324678e-34,0.00033554462901,0.0386659280827,0.00441766466406,0.0145644892341,2,2,2
ENSG00000149485,FADS1,12.1113976441,0.100739475233,9.19144880118e-34,0.0397694881116,0.100586003809,3.04821572923e-06,2.12554902932e-05,3,3,3
