gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000204632,HLA-G,-3.81149319023,-0.0612708181115,0.000138129861638,0.113299622862,0.186672542299,7.58096095232e-32,8.23865015028e-31,35,41,41
ENSG00000112343,TRIM38,-3.46029831374,-0.0704039132655,0.000539577266597,0.0737357455111,0.100001164727,5.0181878504e-17,2.91421955457e-16,19,20,20
ENSG00000072778,ACADVL,3.42886501917,0.17207325862,0.000606110888199,0.0123050890607,0.170840038388,4.95681971024e-29,4.78090557992e-28,12,13,13
ENSG00000132382,MYBBP1A,3.33955532355,0.211475798958,0.000839126351522,0.00780259778903,0.0129274741493,0.00320776202687,0.0072530477143,8,8,8
ENSG00000134452,FBH1,-3.31391104546,-0.093942778094,0.000920007711045,0.0393492509983,0.0923142957169,8.93417858159e-16,4.85771174685e-15,14,15,15
ENSG00000176386,CDC26,3.2840008494,0.0774583708714,0.00102344613923,0.0600190348797,0.119378078833,3.20597633929e-20,2.17653555988e-19,6,6,6
ENSG00000152492,CCDC50,-3.25278641834,-0.105100335674,0.0011427935915,0.0334798491012,0.0925448203866,8.19757303998e-16,4.46995803061e-15,15,18,18
ENSG00000100207,TCF20,-3.23572659675,-0.187178731703,0.00121333538647,0.0099629835248,0.0278960506132,1.38817782405e-05,3.99293215441e-05,3,3,3
ENSG00000014164,ZC3H3,-3.20770812304,-0.0429217852593,0.00133797212186,0.194737103071,0.506042073641,2.13359396419e-104,2.16502975691e-102,24,25,25
ENSG00000170906,NDUFA3,-3.18507110798,-0.0813183711157,0.00144718443573,0.0541323977043,0.189195850603,2.6676573557e-32,2.943864607e-31,10,13,13
ENSG00000166847,DCTN5,3.17925545493,0.0242132985491,0.00147653900735,0.583574141874,0.674815826296,4.22381374082e-165,3.81232536007e-162,18,19,19
ENSG00000124570,SERPINB6,3.15297210156,0.0344334237683,0.00161617251898,0.299808117966,0.394352403818,8.95233740163e-75,3.78137029804e-73,30,31,31
ENSG00000072609,CHFR,3.14807557392,0.130048532153,0.00164349196963,0.0187804692364,0.0227788944217,8.7877170938e-05,0.000235911960616,10,11,11
ENSG00000205517,RGL3,3.13714140464,0.0926610518775,0.00170603824978,0.0447784939727,0.0784195587091,1.54515487165e-13,7.44382019072e-13,9,9,9
ENSG00000093010,COMT,3.13608172972,0.151551182987,0.0017122148035,0.0143130529446,0.0250967947699,3.80564648206e-05,0.00010534791206,8,10,10
