gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000148842,CNNM2,-8.19323045003,-0.298085959436,2.54306596524e-16,0.0394826545138,0.0578974243104,0.00133877503475,0.00771181731777,10,12,12
ENSG00000197062,ZSCAN26,7.40136252367,0.247421532338,1.34794181937e-13,0.0554981643875,0.206316113944,2.72558658258e-10,4.78675407903e-09,14,20,20
ENSG00000186470,BTN3A2,7.34646004179,0.0980883592981,2.03525029659e-13,0.327343504284,0.394020039031,1.45691002316e-20,9.96621990927e-19,33,34,34
ENSG00000146112,PPP1R18,7.34011268616,7.28878892895,2.13414094485e-13,6.295979609e-05,0.0226060464223,0.0470294740803,0.170914988192,1,10,10
ENSG00000244731,C4A,7.1979632557,0.5229598333,6.11186083603e-13,0.00977258989311,0.235776687675,9.70259144254e-12,2.07625505495e-10,5,32,32
ENSG00000187987,ZSCAN23,-7.0385245171,-0.190926314509,1.94286121085e-12,0.0783893688935,0.173428988982,9.91611696997e-09,1.40741404396e-07,4,5,5
ENSG00000204463,BAG6,6.4290408351,0.624962434143,1.28411630741e-10,0.00631731264785,0.265431359611,2.98879404611e-13,7.70805920619e-12,8,32,32
ENSG00000114054,PCCB,-6.34547889376,-0.197860195823,2.21734597064e-10,0.0600735975852,0.0736988554899,0.000279025993056,0.00187814298183,9,9,9
ENSG00000261758,AC117382.2,-6.25112064157,-0.117348796248,4.07517925087e-10,0.157831652908,0.153516014101,8.23151865444e-08,1.01863822779e-06,14,17,17
ENSG00000168237,GLYCTK,6.24092799007,0.278862021584,4.34982477448e-10,0.0279646299943,0.0243356511822,0.0392534181813,0.146534857208,13,13,13
ENSG00000136631,VPS45,-6.08387411572,-0.242358658724,1.17312725229e-09,0.0331437824789,0.082969092971,0.000110907819847,0.000812493242025,5,6,6
ENSG00000163938,GNL3,6.01233271754,0.240525317507,1.82872502283e-09,0.0342959821565,0.0595394369539,0.00113749504773,0.00666836096541,9,10,10
ENSG00000169592,INO80E,5.98245222104,0.242331077854,2.19802998141e-09,0.0361023339541,0.0796130506352,0.000154945492443,0.00109996010695,8,8,8
ENSG00000198951,NAGA,5.85009710711,0.180345028146,4.91286101976e-09,0.0609467688452,0.196574400373,8.01143692695e-10,1.30382698942e-08,11,12,12
ENSG00000214922,HLA-F-AS1,5.8314781189,0.867933387236,5.49385170038e-09,0.00264490022044,0.112732679813,5.56222732159e-06,5.12137294076e-05,1,22,22
ENSG00000204252,HLA-DOA,5.58677287282,0.338370648684,2.3132794747e-08,0.0201275906817,0.049148115235,0.00319325685044,0.0166810493058,7,14,14
ENSG00000162971,TYW5,-5.57058039904,-0.142088513068,2.53892120735e-08,0.0891464285198,0.125049972213,1.58265271012e-06,1.58905034379e-05,14,14,14
ENSG00000176349,AC104129.1,5.45531491322,0.149859170348,4.88861289079e-08,0.0809683265064,0.111843603714,6.0876146408e-06,5.56338115925e-05,17,17,17
ENSG00000120451,SNX19,5.4238688855,0.0673799741055,5.83226695877e-08,0.38884145665,0.360071420944,1.69889002963e-18,8.70900284475e-17,84,85,85
ENSG00000253893,FAM85B,-5.41890229668,-0.0786193823147,5.99660753503e-08,0.291822472489,0.417370614759,4.73228751487e-22,3.93364329523e-20,25,27,27
ENSG00000167491,GATAD2A,-5.39014410113,-0.167587880048,7.04012088246e-08,0.0564520362543,0.112715881099,5.57172424504e-06,5.12785419711e-05,11,12,12
ENSG00000231852,CYP21A2,-5.37422457501,-0.638712601364,7.69129494933e-08,0.00431084707001,0.0437899605117,0.00544834936404,0.0266341052323,9,47,47
ENSG00000163125,RPRD2,-5.357421993,-0.179549966798,8.44177953229e-08,0.0539807584927,0.0601951675724,0.00106585000031,0.00628366612222,32,35,35
ENSG00000262246,CORO7,-5.35595761339,-0.121610730068,8.51044598201e-08,0.118990635506,0.212769161787,1.32562474633e-10,2.42612585153e-09,15,15,15
ENSG00000111325,OGFOD2,5.35468954764,0.255485971872,8.57034371314e-08,0.0252243959521,0.0329085687381,0.0162806509347,0.0694499082197,13,15,15
ENSG00000235109,ZSCAN31,-5.31975085357,-0.129410693939,1.03909450372e-07,0.101180963568,0.378010899983,1.41825538634e-19,8.47864767355e-18,13,20,20
ENSG00000224389,C4B,-5.22669995745,-0.542122556922,1.72562185162e-07,0.00555633801284,0.0674448240512,0.000519202270187,0.00329760613857,5,32,32
ENSG00000163634,THOC7,-5.20742798112,-0.099387194994,1.91476115424e-07,0.151723806927,0.181827921236,4.00855781739e-09,5.97816656912e-08,38,44,44
ENSG00000164574,GALNT10,5.18181026917,0.179325047092,2.19742680459e-07,0.0481117699862,0.030028145222,0.0218300555918,0.0893939705332,20,21,21
ENSG00000183066,WBP2NL,5.15578982826,0.120675482317,2.52564056394e-07,0.109630060336,0.184204280197,3.09782049215e-09,4.70057649078e-08,19,20,20
ENSG00000182774,RPS17,-5.10594372268,-0.150942339676,3.29147646541e-07,0.0626530187573,0.116460493931,3.80718930848e-06,3.58938986589e-05,10,10,10
ENSG00000126464,PRR12,-5.09579497124,-0.144834171931,3.47280822973e-07,0.0841099621459,0.118308826406,3.15350468208e-06,3.01672268165e-05,23,24,24
ENSG00000249106,AC097537.1,-5.08901987244,-0.107410511755,3.59918898996e-07,0.132669799774,0.142107679857,2.71666705319e-07,3.08717545739e-06,30,33,33
ENSG00000100395,L3MBTL2,5.07084152917,0.106162323601,3.96060468591e-07,0.13731935083,0.101213843252,1.78303028596e-05,0.000149402184282,26,28,28
ENSG00000259775,AL138976.2,-5.03769036487,-0.103808513441,4.71182853314e-07,0.145199473011,0.311179679439,1.06320468683e-15,3.74707813953e-14,32,35,35
ENSG00000256092,SBNO1-AS1,-4.98528440218,-0.216705770774,6.18707361963e-07,0.0327919557063,0.0410507794483,0.00716627476046,0.0339888967043,9,9,9
ENSG00000204962,PCDHA8,4.97248203622,0.245260178617,6.61010979315e-07,0.0230064771091,0.0559567919,0.00162314701798,0.0091454126689,4,5,5
ENSG00000146830,GIGYF1,4.89383203074,0.211117855042,9.88912501556e-07,0.0321433053927,0.0673764375644,0.000522737737551,0.00331804081419,12,13,13
