gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000112812,PRSS16,-10.2447625724,-0.46043314409,1.24931233065e-24,0.0296447650032,0.0612715139768,0.000957904915962,0.00340298453374,6,6,6
ENSG00000137185,ZSCAN9,-9.58263630442,-0.51053825139,9.45988579765e-22,0.0182621464942,0.0339945109762,0.0145833432141,0.0383793218128,8,10,10
ENSG00000197062,ZSCAN26,9.18496630921,0.27618947317,4.11656157975e-20,0.0665258550748,0.3099671745,1.24023499224e-15,2.89435880881e-14,9,11,11
ENSG00000224389,C4B,-9.1806852148,-1.81403824597,4.28356901443e-20,0.00160015992313,0.115862029091,4.04639609681e-06,2.36283258225e-05,5,12,12
ENSG00000244731,C4A,8.53437053556,0.137899932664,1.40920534133e-17,0.191781615501,0.366713066861,6.82945100834e-19,2.35520108823e-17,4,16,16
ENSG00000240053,LY6G5B,-7.82235439609,-0.995597004433,5.18444052145e-15,0.00353776466782,0.277077148172,7.34836288263e-14,1.37874319409e-12,7,30,30
ENSG00000111801,BTN3A3,-7.55534066149,-0.362921088299,4.17764968791e-14,0.0251789637311,0.0320432446562,0.0177766718945,0.0455641870278,11,12,12
ENSG00000148842,CNNM2,-7.51475676469,-0.267390960339,5.70168411366e-14,0.0351945557114,0.0818518920074,0.000123972804588,0.000538307720069,6,6,6
ENSG00000204421,LY6G6C,7.13967533962,0.480234217293,9.35516145729e-13,0.0125560477105,0.031388566567,0.0190013476979,0.048340948466,3,10,10
ENSG00000186470,BTN3A2,6.99471338649,0.0801840389686,2.65801744619e-12,0.410893784776,0.494372717924,2.06109380105e-27,2.04774576501e-25,14,15,15
ENSG00000272912,AL356608.1,6.99403637811,0.330928397335,2.67088255681e-12,0.0243740629632,0.0270149142896,0.0297405540629,0.0713308334256,2,2,2
ENSG00000187987,ZSCAN23,-6.89995027539,-0.130139277849,5.20207449456e-12,0.159318512284,0.232771483531,1.37083067926e-11,1.84880486697e-10,6,7,7
ENSG00000140564,FURIN,-6.74255275198,-0.29732569279,1.5562770938e-11,0.0322318121354,0.065005159849,0.000661401067928,0.00243505768153,12,13,13
ENSG00000111325,OGFOD2,6.68434143066,4.59077529151,2.31965416979e-11,0.000132305964229,0.072441986628,0.000316136892649,0.00124874671114,1,1,1
ENSG00000228223,HCG11,6.62729870464,0.626694989455,3.41885374019e-11,0.00700931352257,0.0291257524432,0.0239414454161,0.0591135287057,4,4,4
ENSG00000174939,ASPHD1,-6.40673910124,-0.499462634509,1.48664891355e-10,0.00959704431485,0.022867174115,0.0457594680097,0.103887436404,3,3,3
ENSG00000198315,ZKSCAN8,6.36484274613,0.176496088315,1.95489917305e-10,0.075549345432,0.143895769955,2.25490178392e-07,1.62733555239e-06,10,10,10
ENSG00000163938,GNL3,6.36413854973,0.144458472248,1.96388808503e-10,0.107851997626,0.136317072364,4.95617805171e-07,3.37706397357e-06,11,12,12
ENSG00000168237,GLYCTK,6.28525436791,0.274849925233,3.27317311055e-10,0.028792153461,0.0400803932485,0.00789852184387,0.0224149564405,7,7,7
ENSG00000114054,PCCB,-6.25460661129,-0.132972171364,3.98519151751e-10,0.128234094388,0.179238579811,5.30431254087e-09,4.95829645398e-08,5,5,5
ENSG00000214435,AS3MT,6.21781670128,0.0807529347319,5.04119956384e-10,0.32437867763,0.345741065575,1.17674585689e-17,3.46774372291e-16,8,8,8
ENSG00000162944,RFTN2,-6.16751024692,-0.602572614632,6.93736185648e-10,0.00631886038003,0.0553379869751,0.00172599098318,0.00576730875609,3,3,3
ENSG00000169592,INO80E,6.13402221524,0.152669807965,8.56845454536e-10,0.0922849001295,0.148873917139,1.3401690139e-07,1.00652578495e-06,8,9,9
ENSG00000142599,RERE,6.03080769033,0.346853825446,1.63142233974e-09,0.0185768083819,0.085924102937,8.25886677454e-05,0.000371364216345,4,4,4
ENSG00000256092,SBNO1-AS1,-5.98530197571,-0.112960778181,2.15988757816e-09,0.180605733438,0.160341820713,4.00389038232e-08,3.29016025745e-07,14,23,23
ENSG00000120451,SNX19,5.93094726634,0.0700927434784,3.0119194326e-09,0.437932749018,0.451018985385,2.65417843466e-24,1.8336681742e-22,16,17,17
ENSG00000261758,AC117382.2,-5.86254588538,-0.180024390195,4.55823590092e-09,0.0620067557002,0.218367717921,7.06214544641e-11,8.55659713089e-10,6,6,6
ENSG00000150967,ABCB9,5.85829305649,1.96254949569,4.67648883127e-09,0.000489209674211,0.0222921449949,0.0486050510246,0.109608277624,1,2,2
ENSG00000214922,HLA-F-AS1,5.8314781189,0.68798843594,5.49385170038e-09,0.00420939621028,0.201476107382,4.6638418419e-10,5.09190979536e-09,1,10,10
ENSG00000250067,YJEFN3,-5.70940866049,-0.3384983664,1.13369379379e-08,0.0162800883199,0.0616752378201,0.000920298702903,0.00328392545534,8,8,8
ENSG00000253893,FAM85B,-5.6760159427,-0.0676350819842,1.37867935297e-08,0.424510309992,0.457493243503,9.445989828e-25,6.81941632427e-23,21,22,22
ENSG00000175224,ATG13,-5.63174558336,-0.39068444096,1.78394717195e-08,0.0126060214361,0.0325564900671,0.0168731848623,0.0435103360484,7,7,7
ENSG00000232710,AC254562.2,5.63147284042,0.83538407324,1.78677116762e-08,0.00282091941047,0.0262407084509,0.0322149716464,0.0764830642275,2,2,2
ENSG00000114904,NEK4,5.62341488269,0.255753693391,1.87219031588e-08,0.0316351678637,0.0430141202023,0.00588769219825,0.0172771884704,11,11,11
ENSG00000198951,NAGA,5.61897287596,0.0950230026468,1.92096007714e-08,0.221471454507,0.291498584213,1.25489043637e-14,2.60777231717e-13,14,14,14
ENSG00000114902,SPCS1,-5.61675088095,-0.388299512534,1.94581647256e-08,0.012386776502,0.0489990093802,0.00324100343663,0.0101303813785,4,5,5
ENSG00000162971,TYW5,-5.48504564314,-0.13336072131,4.13362675045e-08,0.100525745816,0.201911817699,4.44421640811e-10,4.86740845873e-09,7,7,7
ENSG00000197933,ZNF823,5.45504379272,1.15385792584,4.8960777508e-08,0.00190495972742,0.0436107187684,0.00554681743324,0.0163852185937,1,1,1
ENSG00000126215,XRCC3,5.40097244623,0.128664021771,6.62806069307e-08,0.104906249871,0.074915885928,0.000247237802168,0.00100240371248,11,11,11
ENSG00000183955,KMT5A,-5.35698650711,-0.19927504191,8.46214372374e-08,0.0468058299217,0.0459471682308,0.00439277031395,0.0133039279765,5,5,5
ENSG00000100403,ZC3H7B,5.32668597508,0.313408612745,1.00020865058e-07,0.0177267173231,0.0993150929112,2.15858233981e-05,0.000110194915434,2,2,2
ENSG00000213996,TM6SF2,5.28820977227,0.288846657318,1.23519278093e-07,0.0204292665797,0.0328626666629,0.0163566819432,0.0423196691545,7,7,7
ENSG00000167491,GATAD2A,-5.28478416906,-0.166148031946,1.25853047764e-07,0.0551485132089,0.120316678917,2.56912865889e-06,1.55512535131e-05,5,5,5
ENSG00000235109,ZSCAN31,-5.17983617194,-0.18723260471,2.22080853747e-07,0.0460608102581,0.424709095537,1.56752106339e-22,8.40739317908e-21,7,11,11
ENSG00000249106,AC097537.1,-5.17744229937,-0.120267717061,2.24948482811e-07,0.102548279918,0.108873462575,8.22640627632e-06,4.56114112541e-05,8,9,9
ENSG00000204969,PCDHA2,5.15753247398,0.201677880135,2.50225462582e-07,0.0359249144876,0.0756313993103,0.000230262230332,0.000941202826936,5,6,6
