gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000254682,AP002387.2,35.3626663909,0.163256720834,6.40438090764e-274,0.181968214128,0.323556725871,3.71449722708e-53,9.10051820634e-52,52,56,56
ENSG00000172893,DHCR7,28.1823240251,0.493305518032,9.63070177931e-175,0.0117499289333,0.0191940837036,0.000632815501426,0.00149053233551,11,12,12
ENSG00000172890,NADSYN1,25.3602720456,0.144144024372,6.92307488233e-142,0.125212690261,0.120363881794,1.49151264111e-18,9.69158974846e-18,52,54,54
ENSG00000084110,HAL,-16.212840466,-0.0484302398762,4.09210192865e-59,0.356136376233,0.459416016828,1.37374022201e-82,8.02870577237e-81,40,40,40
ENSG00000129083,COPB1,-14.1349957545,-0.716189045773,2.31147935338e-45,0.00118323028014,0.0156593920257,0.00204416512287,0.00455629079702,4,5,5
ENSG00000257878,AC007298.2,-13.9784393421,-0.10525998555,2.11065751153e-44,0.0553709961806,0.0942169900488,1.1499442644e-14,6.02863539062e-14,17,19,19
ENSG00000133818,RRAS2,13.5383201432,0.11552260379,9.28888708782e-42,0.0422577889568,0.058646196148,1.5963581361e-09,6.0662189033e-09,13,14,14
ENSG00000171234,UGT2B7,10.1345713146,0.0363201993719,3.88071985976e-24,0.233934842766,0.329557894745,2.50676388344e-54,6.33442279386e-53,10,10,10
ENSG00000142623,PADI1,8.93959723368,0.0395988733989,3.90591344877e-19,0.162625233485,0.230103822873,3.86871769497e-36,5.46557598459e-35,32,37,37
ENSG00000143631,FLG,-8.80228202414,-0.0946754083967,1.34061771742e-18,0.0256476800343,0.0655530562788,1.64376292058e-10,6.6587515174e-10,25,27,27
ENSG00000129084,PSMA1,-8.2864472805,-0.0819618758788,1.16681378925e-16,0.0325929652706,0.0187026726002,0.000744357866703,0.00173974526866,40,41,41
ENSG00000160584,SIK3,7.83549235411,0.247276300596,4.67009070587e-15,0.00358064424403,0.0117606582002,0.00758977421284,0.0157104121345,5,5,5
ENSG00000118520,ARG1,7.02096820895,0.0182143582684,2.20335990386e-12,0.436667084185,0.567435905552,8.00411563335e-112,1.1629868847e-109,14,14,14
ENSG00000198189,HSD17B11,-6.88124874626,-0.0342231605585,5.93301457839e-12,0.118332366751,0.129886728982,5.39805747141e-20,3.76227703112e-19,54,55,55
ENSG00000116641,DOCK7,-6.47255112063,-0.0281677988363,9.63619029407e-11,0.136784322895,0.203249338217,1.26920076966e-31,1.5071218901e-30,23,23,23
ENSG00000151224,MAT1A,6.41998381717,0.0332304489142,1.36288832535e-10,0.114740267695,0.260107449384,2.27172520525e-41,3.83008110148e-40,8,11,11
ENSG00000182400,TRAPPC6B,-6.23300544367,-0.0472685389139,4.57570264334e-10,0.0537783201126,0.0559542356385,3.86119732591e-09,1.42684266425e-08,41,41,41
ENSG00000037042,TUBG2,6.17263584857,0.0417743734174,6.71607776402e-10,0.0638532754665,0.111583388783,3.09163687434e-17,1.86469640593e-16,11,11,11
ENSG00000109917,ZPR1,6.06837237905,0.0622123883175,1.29213032385e-09,0.033033063388,0.0467805124122,7.75651482266e-08,2.60873749613e-07,26,26,26
ENSG00000184860,SDR42E1,-6.04345148164,-0.051515655384,1.50851754171e-09,0.0405769363718,0.110125356974,5.10130453413e-17,3.04520955115e-16,3,3,3
ENSG00000269958,AL049840.5,-6.00625474079,-0.0335795881659,1.8985781487e-09,0.0995724778629,0.143330207207,4.70434315109e-22,3.66998403245e-21,23,23,23
ENSG00000114353,GNAI2,5.53895288725,0.0800895919294,3.04285480345e-08,0.0141108596484,0.0132163193707,0.00463676439543,0.0098793300861,19,20,20
ENSG00000143536,CRNN,5.52396174226,0.0222743313119,3.31439663349e-08,0.18937895789,0.242924780929,2.38272595976e-38,3.62309413199e-37,43,46,46
ENSG00000213996,TM6SF2,5.51215214243,0.0538664516075,3.5447229456e-08,0.0313956601596,0.0479104855366,5.3639570294e-08,1.82428597084e-07,18,20,20
ENSG00000143379,SETDB1,5.50405719882,0.0825901030651,3.71149043859e-08,0.0135966795393,0.0352218156181,3.35162176037e-06,9.92161602889e-06,8,10,10
ENSG00000143126,CELSR2,5.43177044159,0.0399713788763,5.57976727585e-08,0.0519491234087,0.0787860924646,2.04192503706e-12,9.26951563253e-12,21,21,21
ENSG00000237975,FLG-AS1,-5.41479105756,-0.0152425845681,6.13603156466e-08,0.381006356955,0.542298442364,2.03924360265e-104,2.24563652096e-102,45,46,46
ENSG00000225855,RUSC1-AS1,5.39816827921,0.0927804875548,6.73247065572e-08,0.0111670406684,0.0210083880887,0.000348025429212,0.000844161379018,6,6,6
ENSG00000254632,AP003119.1,5.38100931714,0.0370615543569,7.40693603675e-08,0.065058814786,0.128348721146,9.2470986932e-20,6.36856635806e-19,9,9,9
ENSG00000143452,HORMAD1,-5.35741328279,-0.016537730472,8.44218637324e-08,0.319910717899,0.622242305332,1.39316535279e-129,3.83542087848e-127,13,14,14
ENSG00000143457,GOLPH3L,-5.3492086531,-0.0198341179333,8.8339647825e-08,0.221346487389,0.480076917539,1.06123173025e-87,7.23262263587e-86,10,12,12
ENSG00000126215,XRCC3,-5.28856851866,-0.0297269425294,1.23277310168e-07,0.092590863068,0.150821373456,3.24812562778e-23,2.69257260341e-22,17,19,19
ENSG00000088808,PPP1R13B,5.25669360827,0.0524847209458,1.4666836056e-07,0.0306417378429,0.0500131758767,2.69901657416e-08,9.3790938019e-08,11,13,13
ENSG00000134243,SORT1,5.22640382668,0.0504407568847,1.72838653996e-07,0.0301067525345,0.0519673211148,1.42472359575e-08,5.04903316291e-08,17,17,17
ENSG00000182179,UBA7,-5.13801776696,-0.0299690536316,2.77651636918e-07,0.0893373950436,0.135938316614,6.43757692005e-21,4.71780812253e-20,11,11,11
ENSG00000185966,LCE3E,5.13618658324,0.048516719894,2.80369309853e-07,0.0336917602501,0.0216544647356,0.000281420857363,0.000689319150785,29,30,30
ENSG00000267089,AC008543.4,-4.96892221052,-0.0809300235279,6.73260704551e-07,0.0112580872882,0.0318858961123,9.93302767503e-06,2.81839894284e-05,7,7,7
ENSG00000173848,NET1,4.93525380242,0.0604353845311,8.00465973868e-07,0.0205685045028,0.0305140372946,1.55319712009e-05,4.33011903313e-05,18,19,19
ENSG00000185614,INKA1,4.93341371161,0.0327840012116,8.08047485521e-07,0.0689962048645,0.0882985623215,8.45424707271e-14,4.20961950267e-13,7,7,7
ENSG00000269940,AL049840.4,-4.92081632245,-0.0631065715712,8.6183984809e-07,0.0198185464618,0.0414447629014,4.41751140173e-07,1.39872262498e-06,7,9,9
ENSG00000068137,PLEKHH3,4.89079178738,0.0637365323436,1.00431158044e-06,0.0175569760982,0.0208568703622,0.000365814999556,0.000885258759623,14,14,14
ENSG00000164068,RNF123,4.87988210519,0.0579739489197,1.06149275519e-06,0.0211467378429,0.0372194390432,1.7489888267e-06,5.30733766804e-06,11,12,12
ENSG00000108256,NUFIP2,4.86721706922,0.0653655264964,1.13180694274e-06,0.0171373119132,0.0311946061402,1.2442316931e-05,3.49765682047e-05,15,18,18
ENSG00000166170,BAG5,-4.82189940064,-0.0580652759905,1.42197659409e-06,0.0222067143175,0.0340830267248,4.85618164528e-06,1.41729513969e-05,14,14,14
ENSG00000103510,KAT8,-4.77530226898,-0.0143966222686,1.79437525415e-06,0.337215528885,0.405645350817,3.8128554326e-70,1.53711703692e-68,20,20,20
ENSG00000153406,NMRAL1,-4.75632499629,-0.018463495794,1.97148990981e-06,0.209118688388,0.26036837646,2.0415311714e-41,3.44753484255e-40,29,29,29
ENSG00000178462,TUBAL3,4.74885758056,0.040864621241,2.04568933244e-06,0.0432988089729,0.123339902761,5.3052680466e-19,3.52164096888e-18,16,17,17
ENSG00000103507,BCKDK,4.73349377924,0.047096440001,2.20687730385e-06,0.031031114794,0.031087221476,1.288541797e-05,3.61832774373e-05,17,17,17
ENSG00000064787,BCAS1,-4.7250328189,-0.0563690147462,2.30078195728e-06,0.0205734077697,0.0570359258448,2.70808524196e-09,1.0134370867e-08,12,13,13
ENSG00000173531,MST1,-4.72454400152,-0.0234878177493,2.30632276522e-06,0.122521609053,0.115361196806,8.41734393102e-18,5.2603371287e-17,30,30,30
ENSG00000159352,PSMD4,4.64847160709,0.0491470666166,3.34403641101e-06,0.0262772617717,0.0140201866022,0.00353792874803,0.00765423257109,33,34,34
ENSG00000143398,PIP5K1A,4.62533808772,0.0531920965078,3.73987860231e-06,0.0228483676014,0.0303853594315,1.61972779105e-05,4.50778991383e-05,20,22,22
ENSG00000134222,PSRC1,4.62345066637,0.0615098505311,3.77408532135e-06,0.0165380954548,0.0273508031818,4.35864966539e-05,0.000116158485478,11,12,12
ENSG00000101670,LIPG,-4.61826533054,-0.0315188127986,3.86961264273e-06,0.0616199892456,0.0739285721273,1.02786902416e-11,4.48791811196e-11,32,34,34
ENSG00000169118,CSNK1G1,4.58215352095,0.0424346018565,4.60211823585e-06,0.0331622540534,0.0395139027053,8.28540404523e-07,2.57892753404e-06,10,10,10
ENSG00000143622,RIT1,-4.54334499225,-0.0279199606614,5.53685238052e-06,0.0833201951248,0.0935366268408,1.44715589407e-14,7.53392455131e-14,18,18,18
ENSG00000170502,NUDT9,4.53201915862,0.0579649787245,5.8422549723e-06,0.0188869203999,0.0198095662234,0.000516512804312,0.00123058499256,20,21,21
ENSG00000143630,HCN3,-4.53174842299,-0.0438569768953,5.84974911281e-06,0.0344373713134,0.0447458766065,1.50630558643e-07,4.95853237648e-07,22,22,22
ENSG00000115216,NRBP1,-4.52162535067,-0.0208011142935,6.13666025165e-06,0.15038801899,0.215116405821,1.33803342566e-33,1.72069289275e-32,15,15,15
ENSG00000136449,MYCBPAP,-4.52036068342,-0.101003064867,6.17343607358e-06,0.0064438994729,0.0143432231258,0.00317446667858,0.00691508238582,5,5,5
ENSG00000132763,MMACHC,-4.49279350003,-0.0592040640397,7.02949399688e-06,0.017345756207,0.0503007899699,2.45687546295e-08,8.56753421857e-08,9,10,10
ENSG00000122378,PRXL2A,4.48771298753,0.0244015209962,7.19918257446e-06,0.107535864469,0.157853318806,2.58898500671e-24,2.25236313078e-23,21,21,21
ENSG00000111344,RASAL1,4.48409014848,0.0220090629423,7.32257024706e-06,0.123530834844,0.173216348387,9.60721225263e-27,9.35808668351e-26,12,12,12
ENSG00000170485,NPAS2,4.47911211823,0.0607208686306,7.49541586812e-06,0.0189929957678,0.0317493602626,1.03848495605e-05,2.9394238008e-05,9,10,10
ENSG00000178078,STAP2,-4.47019107733,-0.0260356404019,7.8149747197e-06,0.0923713258768,0.164511830341,2.31703334534e-25,2.11238730651e-24,15,16,16
ENSG00000170509,HSD17B13,4.42483986078,0.0182596257118,9.65138502377e-06,0.184070725164,0.247157536443,4.35755572309e-39,6.78371565433e-38,26,26,26
ENSG00000099377,HSD3B7,-4.41748329181,-0.0152871747889,9.98567868641e-06,0.268062087445,0.35410798827,3.15462466496e-59,9.23915688234e-58,10,10,10
ENSG00000129451,KLK10,4.39773318781,0.0185900709701,1.09387333207e-05,0.171890047714,0.279418793346,7.55171050115e-45,1.42090322676e-43,4,4,4
ENSG00000108797,CNTNAP1,-4.39075164843,-0.048565110664,1.12959500241e-05,0.0252239844754,0.0490114855735,3.74400959229e-08,1.28969233947e-07,2,2,2
ENSG00000105877,DNAH11,4.39044987374,0.0384653270645,1.13116389818e-05,0.038054784255,0.0839713295632,3.61087620177e-13,1.7174440275e-12,16,17,17
ENSG00000167491,GATAD2A,4.38896227643,0.0601242350969,1.13892821415e-05,0.017832645128,0.0319718530191,9.65872786423e-06,2.74317311122e-05,4,5,5
