gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000254682,AP002387.2,35.9507654843,0.117650909416,4.92388526432e-283,0.376293964186,0.352721801972,6.032646809e-59,1.55062738556e-57,52,55,55
ENSG00000172890,NADSYN1,31.508655355,0.148634335551,6.61150137599e-218,0.184583658068,0.195976617168,2.00036432454e-30,1.91725253148e-29,46,50,50
ENSG00000172893,DHCR7,28.5053096605,0.371362044514,1.00672096474e-178,0.0210774281713,0.036639984703,2.11214074859e-06,4.84777543689e-06,5,5,5
ENSG00000084110,HAL,-16.1338492325,-0.0457906518363,1.47531794369e-58,0.394798429475,0.475984900954,1.13285423138e-86,6.44095355519e-85,46,46,46
ENSG00000241233,KRTAP5-8,15.1052349055,0.394586956747,1.49572423652e-51,0.00687185452747,0.0162957066637,0.00165363692548,0.00277792415831,8,9,9
ENSG00000257878,AC007298.2,-13.5563300658,-0.0687359469379,7.2682618035e-42,0.124510198807,0.108704090082,8.30588924808e-17,3.96134307585e-16,36,36,36
ENSG00000133818,RRAS2,12.8338229593,0.100361751518,1.06001730086e-37,0.0514784200942,0.0917087151789,2.68186710275e-14,1.09917150619e-13,14,15,15
ENSG00000262655,SPON1,-12.4987202235,-0.156894786176,7.58627096173e-36,0.018706138307,0.0202211118377,0.000450995189657,0.000807062295004,14,14,14
ENSG00000129083,COPB1,-11.5208747387,-0.189636786845,1.03554340387e-30,0.0112704172151,0.0320517237517,9.41064931593e-06,2.02383611509e-05,6,7,7
ENSG00000129084,PSMA1,-11.1882427408,-0.203390414089,4.65568918501e-29,0.00944486629067,0.0110268777579,0.00974676800916,0.0148249220017,21,22,22
ENSG00000160584,SIK3,9.87716122489,0.228283575177,5.22933285854e-23,0.00623331386129,0.0280187822215,3.50471579937e-05,7.0993483077e-05,8,8,8
ENSG00000171234,UGT2B7,9.68015949415,0.0518295281415,3.66144337551e-22,0.104629627523,0.332826232229,5.71626551448e-55,1.28603681032e-53,13,13,13
ENSG00000143631,FLG,-9.44807955746,-0.0748957162973,3.45104005657e-21,0.0459370615509,0.0847151382603,2.81450066925e-13,1.08488941604e-12,14,16,16
ENSG00000142623,PADI1,9.06280817259,0.04040386595,1.27134490886e-19,0.16078457275,0.218087418313,4.23591258966e-34,4.66463153229e-33,25,28,28
ENSG00000182400,TRAPPC6B,-8.9194260412,-0.0800311853378,4.68710961533e-19,0.0387208535473,0.0518635044206,1.47393638134e-08,4.0572517967e-08,24,25,25
ENSG00000198189,HSD17B11,-8.00111354005,-0.0314824586141,1.23299027367e-15,0.179978870876,0.173744813626,7.91091871522e-27,6.47321674926e-26,40,40,40
