gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000152254,G6PC2,-27.5167399513,-0.0886133161023,1.10708938222e-166,0.300304249034,0.545444003786,5.55343305659e-82,7.75856154308e-80,19,21,21
ENSG00000106636,YKT6,17.8507551762,0.157882852168,2.85154302043e-71,0.0362192328631,0.0503453474473,9.15524153915e-07,2.83548779203e-06,11,12,12
ENSG00000273454,AC112503.2,13.9489292168,0.408425294863,3.19364148215e-44,0.00350747789414,0.0120151641414,0.0175649372258,0.0286726902318,7,8,8
ENSG00000106633,GCK,13.4412153089,0.0924907246555,3.46695513512e-41,0.0679209380113,0.123858917495,4.02999083091e-15,2.69413807599e-14,15,15,15
ENSG00000115216,NRBP1,-10.9096747992,-0.0757956082188,1.03626380389e-27,0.0665001147221,0.0845223589376,1.37657942205e-10,6.26569405819e-10,16,17,17
ENSG00000274895,AC011700.1,10.3240559871,0.158881152169,5.485573656e-25,0.0142852430437,0.0364886599277,3.12481097139e-05,7.95515593399e-05,2,2,2
ENSG00000234072,AC074117.1,-10.2645252115,-0.150105871233,1.01820601656e-24,0.0151393563342,0.0773165005299,8.95994946424e-10,3.78778267079e-09,6,6,6
ENSG00000167930,FAM234A,9.92621229348,0.0560997108908,3.20187901472e-23,0.105202628013,0.0725468432678,3.07816721451e-09,1.23445264761e-08,25,28,28
ENSG00000115241,PPM1G,-9.19135456052,-0.120458905031,3.87925169022e-20,0.0181830311361,0.0435535366322,5.16918274577e-06,1.45364242161e-05,11,12,12
ENSG00000175426,PCSK1,8.79583387242,0.101256577856,1.41989533682e-18,0.0237155131042,0.0480104859823,1.66053996459e-06,4.97628910736e-06,11,11,11
ENSG00000234936,AC010883.1,-8.65176832563,-0.0619210140351,5.07075033271e-18,0.062024924422,0.0887159423221,4.6042858286e-11,2.18986146507e-10,20,20,20
