gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000274895,AC011700.1,11.3203261693,0.0686028616788,1.04083937245e-29,0.0917500697322,0.253061039264,9.6665873287e-15,2.2193264452e-13,6,6,6
ENSG00000230461,PROX1-AS1,10.6325832079,0.145921896672,2.10207956789e-26,0.0177750705244,0.0443965278791,0.00225146285691,0.00809451502511,8,8,8
ENSG00000173273,TNKS,-10.2842650423,-0.0691541102637,8.29726602358e-25,0.0730975039351,0.0817673387205,2.82746703595e-05,0.000164635338215,21,21,21
ENSG00000221843,C2orf16,10.2199794298,0.0781299941148,1.61375120341e-24,0.0574798832618,0.0729876456034,7.93045841311e-05,0.000419542539875,7,7,7
ENSG00000115216,NRBP1,-10.0724783734,-0.0819489966545,7.31121177052e-24,0.0495203378899,0.0456872532877,0.00193511416445,0.00709741949652,5,5,5
ENSG00000167930,FAM234A,9.38014013838,0.0886675815466,6.58851006318e-21,0.0371303546992,0.0621859928531,0.000280838120128,0.00130827273001,4,6,6
ENSG00000234936,AC010883.1,-8.01215284689,-0.0556421097846,1.12717655649e-15,0.0605579658938,0.0808203322527,3.16080066927e-05,0.000182360558284,9,9,9
ENSG00000152518,ZFP36L2,7.92537212372,0.429212810829,2.27464120918e-15,0.00098397376266,0.0488352027222,0.00133818547161,0.00516016974151,1,1,1
ENSG00000279873,LINC01126,-7.92366261683,-0.0631904769816,2.30614820937e-15,0.0509066544591,0.0694227671252,0.000120424548107,0.000614465775922,9,9,9
ENSG00000149485,FADS1,7.88029362235,0.0691538085457,3.26612658152e-15,0.0397694881116,0.100586003809,3.04821572923e-06,2.12554902932e-05,3,3,3
ENSG00000260196,AC124798.1,-7.80540671342,-0.0668045843199,5.93099613587e-15,0.0424510064763,0.0562539255901,0.000561869410251,0.00242349418676,6,6,6
ENSG00000152253,SPC25,7.75329740549,0.0480627484155,8.9536587597e-15,0.101544596579,0.0792589538439,3.79792597845e-05,0.000215569047886,4,5,5
ENSG00000175164,ABO,7.7026515007,0.0367921703008,1.33271464309e-14,0.136374431663,0.24470038139,3.09188000443e-14,6.74650356675e-13,1,1,1
ENSG00000084734,GCKR,7.68294489538,0.0683298808777,1.55472476677e-14,0.0417191530171,0.0311790677046,0.0107307378749,0.0308516867959,8,8,8
ENSG00000221968,FADS3,7.486448611,0.330444276345,7.07622329539e-14,0.00160499726009,0.092358604805,8.09788499458e-06,5.22852519889e-05,5,5,5
ENSG00000123612,ACVR1C,-7.26206625495,-0.148820758863,3.81221373906e-13,0.0089436751373,0.0345590350695,0.00717921425997,0.022033805219,5,6,6
ENSG00000188211,NCR3LG1,-7.20755794505,-0.0472751349656,5.69642024185e-13,0.0727617246783,0.0606798403773,0.000334914576964,0.00152269021077,11,11,11
ENSG00000146830,GIGYF1,-6.95119129178,-0.0384382151996,3.62214313826e-12,0.0976671249482,0.0765060585915,5.24822182696e-05,0.000288035568676,16,17,17
ENSG00000058404,CAMK2B,6.88667246587,0.0521507151132,5.71125104167e-12,0.0554120232647,0.095052288505,5.88442980256e-06,3.88964510848e-05,7,7,7
ENSG00000011478,QPCTL,-6.7636688813,-0.0559538527831,1.34540378259e-11,0.0458041908682,0.118557775775,3.53294862573e-07,2.95474456682e-06,8,8,8
ENSG00000204308,RNF5,-6.55994567426,-0.0548213234698,5.382738459e-11,0.037110599476,0.189078315497,5.27774275708e-11,7.88037391306e-10,2,2,2
ENSG00000198522,GPN1,-6.48850902297,-0.146835858693,8.66899660155e-11,0.00601756979867,0.0703458380745,0.000108083746228,0.000556691617519,5,5,5
ENSG00000175220,ARHGAP1,-6.29582549655,-0.0499931404136,3.05768205218e-10,0.0526259172225,0.189472011757,5.01527756979e-11,7.52410952143e-10,9,9,9
ENSG00000198535,C2CD4A,6.16660497969,0.0948494077412,6.97717654634e-10,0.0136215265302,0.0639036139782,0.000229732586613,0.00108924337683,6,6,6
ENSG00000086102,NFX1,-6.14115473014,-0.0905361622688,8.19237334857e-10,0.0145000193743,0.0394391692426,0.0040327845058,0.01346729343,3,3,3
ENSG00000134575,ACP2,-6.12840584437,-0.0755432480976,8.87639321308e-10,0.0237173024048,0.088950627637,1.21190914371e-05,7.55914842752e-05,3,4,4
ENSG00000157992,KRTCAP3,5.99057072522,0.0452497485584,2.0910591417e-09,0.0563551839874,0.0500222995073,0.0011645639369,0.00457663578065,18,18,18
ENSG00000198933,TBKBP1,-5.92310236953,-0.0253004551554,3.15924039685e-09,0.176038798639,0.301556165437,8.82325865683e-18,2.86801387062e-16,9,9,9
ENSG00000129003,VPS13C,-5.80793905258,-0.125375048717,6.32465296979e-09,0.00688903929911,0.0228071797559,0.0294487687028,0.0731886240566,1,1,1
ENSG00000267395,DM1-AS,-5.74984314093,-0.0384354666886,8.93262842771e-09,0.0707109125568,0.0661342708145,0.000176967852548,0.000863300112043,13,13,13
ENSG00000099869,IGF2-AS,5.73151887919,0.0267509435212,9.95352677175e-09,0.135648375247,0.206768922526,5.21475771372e-12,8.82404171987e-11,5,6,6
ENSG00000106636,YKT6,5.7257912752,0.0467621502625,1.02952737962e-08,0.0516137340088,0.0416094541717,0.00312359016127,0.0107635844574,8,8,8
ENSG00000106327,TFR2,-5.71080840984,-0.0340518664404,1.12440772388e-08,0.082377099099,0.139900587843,2.61860396073e-08,2.69232335485e-07,4,4,4
ENSG00000096717,SIRT1,5.69212507284,0.0938950496989,1.25467888665e-08,0.0114575865368,0.0335533780934,0.00808918686543,0.0243408998123,7,7,7
ENSG00000108424,KPNB1,-5.67525288943,-0.116713627929,1.3848391862e-08,0.0076163544396,0.0516341949265,0.000964383542969,0.00387515035384,4,4,4
ENSG00000136206,SPDYE1,-5.62503663393,-0.045339490253,1.85468610226e-08,0.0463082608019,0.0218330541135,0.0331807185864,0.0809534220038,21,23,23
ENSG00000277186,AC131212.1,5.52378350373,0.0309136033192,3.31776245642e-08,0.109655433859,0.0612607451776,0.000312923943175,0.00143791478188,26,35,35
ENSG00000244731,C4A,-5.51342378407,-0.0149754183544,3.5191947257e-08,0.271070650975,0.396724193445,2.16398417841e-24,1.43140743661e-22,24,26,26
ENSG00000136279,DBNL,5.49479630725,0.0515788284114,3.91161638726e-08,0.0377077794572,0.0311590891267,0.010756342266,0.0309018197399,8,8,8
ENSG00000204305,AGER,5.42626847717,0.0414553229833,5.75443830239e-08,0.0506778115823,0.0346515784318,0.0071008724934,0.0218252324663,2,2,2
ENSG00000165609,NUDT5,5.34439659119,0.0634003995075,9.07187480232e-08,0.0232748654366,0.0462201359007,0.00181790968645,0.00673413265093,1,1,1
ENSG00000236104,ZBTB22,-5.29730839026,-0.0635128465289,1.17522120825e-07,0.0221235965049,0.0480339077342,0.00146984023836,0.005595363777,8,8,8
ENSG00000213719,CLIC1,-5.28777269312,-0.0580891568601,1.2381470105e-07,0.0196076575702,0.066512676504,0.000169302839684,0.000831051147157,9,9,9
ENSG00000164938,TP53INP1,-5.22830680013,-0.0360698200508,1.71069468922e-07,0.0641954266219,0.0350459894141,0.00677657756313,0.0210096132857,7,7,7
ENSG00000087087,SRRT,-5.08263504897,-0.048300391279,3.72234474997e-07,0.0317823323379,0.132073033254,6.83998410006e-08,6.54230255301e-07,6,6,6
ENSG00000178852,EFCAB13,5.07410740375,0.0225982821623,3.89319125458e-07,0.163609207574,0.493254693454,3.08437379949e-32,4.90337676796e-30,19,22,22
ENSG00000159199,ATP5MC1,-5.05990348499,-0.0394728241035,4.19468748659e-07,0.0520597546938,0.0300045348677,0.0123467363947,0.0348308319586,10,10,10
ENSG00000175213,ZNF408,-5.03726746768,-0.0256793927499,4.72224701556e-07,0.114612750803,0.141579483793,2.12928189405e-08,2.22797316767e-07,8,9,9
ENSG00000204301,NOTCH4,-5.03492524805,-0.0225559137826,4.78035340593e-07,0.155889852405,0.144717359238,1.44524150043e-08,1.55967362836e-07,9,9,9
ENSG00000204209,DAXX,5.02860332307,0.0520076164954,4.94065269577e-07,0.0298682773935,0.170321496544,5.84679851357e-10,7.65465289133e-09,6,6,6
ENSG00000227117,HORMAD2-AS1,4.94466452762,0.0637904639054,7.62750996084e-07,0.0184262965606,0.0524975074941,0.000871750138807,0.00355043468804,5,5,5
ENSG00000258666,AL157871.4,-4.93816280365,-0.259835406553,7.88619943583e-07,0.00113393739588,0.0681797849577,0.000139290827605,0.000699708942281,1,1,1
ENSG00000279949,AC022784.6,4.93418680225,0.056733943579,8.04853823218e-07,0.0255019692558,0.0267972208969,0.0181459344609,0.0484318267681,12,12,12
ENSG00000239474,KLHL41,4.91631996564,0.0466433997932,8.81862213508e-07,0.0307485047245,0.0212277163917,0.0357436187939,0.0861179037625,13,14,14
ENSG00000165689,ENTR1,-4.90755053491,-0.0455135616611,9.22208979829e-07,0.0370030692484,0.0318655745278,0.00988755498622,0.028839464266,2,2,2
ENSG00000224729,PCOLCE-AS1,4.89494388622,0.0355914232568,9.83337827375e-07,0.0584813555544,0.0437572718404,0.00242690407376,0.00863822601456,3,3,3
ENSG00000281831,AL645929.2,4.87233907645,0.0133685527638,1.10284677973e-06,0.385797798978,0.544770366077,4.70315189367e-37,1.36883426961e-34,22,27,27
ENSG00000103148,NPRL3,4.82354523612,0.0148987208629,1.41028763672e-06,0.33527795331,0.193657509143,2.9118913581e-11,4.48958115017e-10,31,32,32
ENSG00000165688,PMPCA,-4.82029270194,-0.0169439396565,1.43347742872e-06,0.25484376456,0.270169689311,8.61086219588e-16,2.23151083591e-14,8,9,9
ENSG00000142949,PTPRF,4.79727380575,0.0457530861263,1.60839675338e-06,0.0319063256251,0.0463569252958,0.00178899146012,0.00663740742158,8,8,8
ENSG00000172336,POP7,-4.78555226596,-0.0418154285856,1.70517803656e-06,0.0392199495197,0.0208497885163,0.0374471165524,0.089662644088,12,12,12
ENSG00000188549,CCDC9B,-4.7815111697,-0.0806450378422,1.7398233428e-06,0.0114908991609,0.0222860569217,0.0313878519469,0.0771764209945,5,5,5
ENSG00000104936,DMPK,-4.76063515946,-0.0479808304102,1.92984640557e-06,0.0307626371162,0.124769255376,1.66518050487e-07,1.48804368404e-06,14,16,16
ENSG00000140105,WARS,-4.75817260276,-0.0268425875991,1.95353425291e-06,0.0902584740984,0.13199107984,6.90883691457e-08,6.59774743815e-07,12,12,12
ENSG00000132436,FIGNL1,-4.74686108656,-0.0159664054921,2.0659773674e-06,0.285760162846,0.296865196773,1.77158382618e-17,5.48996745208e-16,11,12,12
ENSG00000134574,DDB2,4.73396659399,0.0205091695212,2.20173980148e-06,0.136041890454,0.0544677760628,0.000692351804482,0.00290483731142,15,16,16
