gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000106636,YKT6,18.0012263857,0.17566176858,1.90552433862e-72,0.0297588735596,0.0797431723275,2.0716056091e-14,9.62075821599e-14,10,10,10
ENSG00000025434,NR1H3,10.9833485058,0.195038301081,4.59566887142e-28,0.00967610322407,0.0119363449916,0.00365496286124,0.00627782571208,2,2,2
ENSG00000115241,PPM1G,-9.55637328345,-0.176054757832,1.21955601197e-21,0.00921508465648,0.0395222043187,1.00294189792e-07,2.86938687886e-07,7,8,8
ENSG00000183049,CAMK1D,9.1226978302,0.422343610806,7.32770576207e-20,0.00146489554319,0.018290349654,0.000313760535131,0.000618034968076,1,1,1
ENSG00000115234,SNX17,-8.92418335252,-0.0253110095492,4.48999553151e-19,0.403377373914,0.390698570612,8.751002643e-78,3.58116427887e-76,16,16,16
ENSG00000152518,ZFP36L2,8.84760913061,0.173885755831,8.94141837042e-19,0.00708192499376,0.0156484838737,0.000865250541473,0.00161681264464,20,20,20
ENSG00000198522,GPN1,-8.79564447062,-0.050419489046,1.42229263432e-18,0.0972759851083,0.09629637487,3.17513354014e-17,1.75341600364e-16,11,12,12
ENSG00000175426,PCSK1,8.04915521675,0.0977600499931,8.33674641576e-16,0.0215181142527,0.0279394745518,8.01090091617e-06,1.88885195759e-05,17,18,18
ENSG00000149485,FADS1,7.89754178273,0.0565460639678,2.84457666055e-15,0.0598979316693,0.098191333717,1.50229795894e-17,8.43558533446e-17,5,5,5
ENSG00000134825,TMEM258,-7.28537775906,-0.0546507853596,3.20770209855e-13,0.0540600722552,0.0579116005169,9.27664727871e-11,3.36716921639e-10,21,21,21
ENSG00000152253,SPC25,7.17552954415,0.0338659135496,7.2027840488e-13,0.172280384561,0.144557248698,1.06078412345e-25,8.87116361253e-25,14,14,14
ENSG00000146830,GIGYF1,-7.00396829433,-0.0353861980194,2.48812443068e-12,0.117593552698,0.151750461855,5.30126741356e-27,4.68750480219e-26,17,18,18
