gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000106636,YKT6,17.4201017802,0.183884361952,5.80737423119e-68,0.0253081038252,0.044252127211,0.000215416256254,0.000610861002874,8,9,9
ENSG00000163072,NOSTRIN,11.0424096226,0.0519804087931,2.38548735486e-28,0.150251390513,0.253988718271,4.73471451596e-21,6.92619031175e-20,24,26,26
ENSG00000167930,FAM234A,10.3198181555,0.0918953445179,5.73316367339e-25,0.0427739058955,0.0540052369978,4.16555954279e-05,0.000132462514035,22,24,24
ENSG00000234072,AC074117.1,-10.2269983902,-0.1269596767,1.50099638348e-24,0.0212466898061,0.0946958397978,4.11506133633e-08,1.96412758358e-07,6,6,6
ENSG00000115216,NRBP1,-10.0780249001,-0.0898938379948,6.910114547e-24,0.0412986582444,0.024432913013,0.0062291773134,0.0134032494689,5,5,5
ENSG00000225156,AC012354.1,-9.90834535894,-0.0713702965306,3.82935314395e-23,0.0625818461505,0.0714174870575,2.19730753853e-06,8.44826863951e-06,12,12,12
ENSG00000138083,SIX3,-9.85654583033,-0.098127733203,6.42207501263e-23,0.0337511694818,0.102732249632,1.02575233442e-08,5.28671815894e-08,20,20,20
ENSG00000115241,PPM1G,-9.60337539496,-0.183443552699,7.7368359683e-22,0.0083980951809,0.0607797988332,1.328909748e-05,4.55510833731e-05,5,6,6
ENSG00000230461,PROX1-AS1,9.1828021314,0.0487631224378,4.2001665196e-20,0.114731948532,0.211226675143,2.40758683387e-17,2.64448455327e-16,11,11,11
ENSG00000274895,AC011700.1,9.18019043544,0.0357031386873,4.30329720597e-20,0.221157238882,0.277054868644,3.89400338767e-23,6.64405666982e-22,34,34,34
ENSG00000234936,AC010883.1,-8.9847690412,-0.0777299507067,2.59278275117e-19,0.0421180529823,0.0543354454969,3.94009298382e-05,0.000125708040665,9,9,9
ENSG00000053254,FOXN3,8.60608128086,0.357182190858,7.56006670947e-18,0.00197182256791,0.0191023448696,0.0157158851782,0.0310528792445,11,13,13
ENSG00000236502,SIX3-AS1,-8.349511856,-0.0655284319763,6.85456659286e-17,0.0518686779982,0.0953058514016,3.70438959207e-08,1.77695806895e-07,17,17,17
ENSG00000106624,AEBP1,8.07121714259,0.0619276927928,6.96008068585e-16,0.0528634121776,0.0485132513876,0.000105072410599,0.000314462966677,17,18,18
ENSG00000149485,FADS1,7.89744038595,0.0607583614761,2.84689091681e-15,0.0518742308296,0.433279171155,2.99270171228e-39,1.47922766593e-37,5,5,5
ENSG00000175426,PCSK1,7.73609178771,0.11771471489,1.02519460152e-14,0.0136115798791,0.0205376238656,0.0122291441184,0.0247447273585,10,10,10
ENSG00000115970,THADA,7.57283615091,0.353711556546,3.65162760731e-14,0.00148716772612,0.0304092148962,0.00224009169329,0.00526799245788,2,2,2
ENSG00000152253,SPC25,7.56978909088,0.0329962023556,3.73830659855e-14,0.199923989762,0.581658701514,2.75052272486e-59,5.12131308907e-57,19,20,20
ENSG00000260196,AC124798.1,-7.54610946254,-0.0669332399478,4.48453167887e-14,0.0398457765608,0.0513682543921,6.4956940922e-05,0.000200699889319,11,11,11
ENSG00000188211,NCR3LG1,-7.35392989589,-0.0670313259899,1.92462701588e-13,0.037842755274,0.0491780297757,9.39412555162e-05,0.000283004303847,8,8,8
ENSG00000146830,GIGYF1,-7.14810853013,-0.0376208628785,8.79817423343e-13,0.107263389116,0.145649955849,5.17665292137e-12,3.72944589504e-11,18,19,19
ENSG00000166913,YWHAB,6.85941067215,0.0589282625003,6.91451990917e-12,0.0443449295493,0.0370931703848,0.000721061311096,0.00185917099008,7,7,7
ENSG00000134825,TMEM258,-6.73277497274,-0.076369695322,1.66457401682e-11,0.0226045587307,0.0439172259039,0.000227925391837,0.000643858177148,3,3,3
ENSG00000204308,RNF5,-6.61814315542,-0.0286506992797,3.63738701096e-11,0.142195812667,0.237068598911,1.46388488417e-19,1.90722719488e-18,10,10,10
ENSG00000066336,SPI1,6.44788073724,0.0545056854679,1.13424961179e-10,0.0373655961073,0.0286409095935,0.00302817510717,0.00693756327863,5,5,5
ENSG00000086102,NFX1,-6.24030278856,-0.0140568133783,4.36724686069e-10,0.60889508204,0.56168703428,3.27591904888e-56,4.75951329692e-54,31,32,32
ENSG00000175220,ARHGAP1,-6.22635902852,-0.0375652966238,4.7739937965e-10,0.0871608978727,0.317352178369,6.13592338615e-27,1.36040160346e-25,8,8,8
ENSG00000168496,FEN1,6.21189002892,0.0626160316717,5.23510611891e-10,0.0299357996345,0.0287363804608,0.00297922620206,0.00683849193334,7,7,7
ENSG00000134569,LRP4,-6.1881849896,-0.0172287478868,6.08608823701e-10,0.383870079312,0.401695308336,1.14963814179e-35,4.42726110104e-34,17,17,17
ENSG00000129003,VPS13C,-6.16590475572,-0.0556401257616,7.00812601275e-10,0.0395510275371,0.0227411932236,0.0083414029362,0.0174755763066,7,7,7
ENSG00000269190,FBXO17,6.12141571628,0.0294793274656,9.27475745375e-10,0.130402872519,0.220063930103,4.28170409163e-18,5.02844587074e-17,14,16,16
ENSG00000253878,AC087752.3,6.0533523268,0.0497535511692,1.41862120949e-09,0.0479490991797,0.0211893158701,0.0109176025193,0.0223312479859,9,9,9
ENSG00000091844,RGS17,-5.87254779524,-0.0836745094841,4.2914792253e-09,0.0160398836829,0.0609382938204,1.29382476981e-05,4.44040290541e-05,12,12,12
